No,Date,Tavg,RH_avg,RR,ff_avg,ss
1,01/01/2019,28.2,76,118,2,5.4
2,02/01/2019,28.1,76,4,3,9.9
3,03/01/2019,29.2,77,0,3,6.1
4,04/01/2019,28.8,77,4.3,1,8.8
5,05/01/2019,27.8,87,0,3,1.8
6,06/01/2019,28.5,78,0,4,6.4
7,07/01/2019,29.1,75,0,4,8.8
8,08/01/2019,28.5,78,4.2,3,10.7
9,09/01/2019,28.4,80,3.5,3,4.4
10,10/01/2019,28.6,74,0,3,8.5
11,11/01/2019,27.1,84,8,3,10
12,12/01/2019,28,78,4.3,3,4.4
13,13/01/2019,27.9,80,0,3,10.6
14,14/01/2019,27.1,85,0,2,7.6
15,15/01/2019,27.8,78,0.1,1,5.7
16,16/01/2019,27.8,79,0,2,5.1
17,17/01/2019,26.6,87,0,2,5.2
18,18/01/2019,25.7,90,37.9,2,4.7
19,19/01/2019,27.5,78,4,2,0
20,20/01/2019,27.7,80,0,2,2.1
21,21/01/2019,27.9,78,0,3,8.5
22,22/01/2019,27.2,78,0,3,3.7
23,23/01/2019,28,77,0,5,2.7
24,24/01/2019,28.1,73,0,3,9.1
25,25/01/2019,27.4,76,0,3,6.8
26,26/01/2019,27.3,74,0,3,6.8
27,27/01/2019,28.2,74,6.64,4,5.9
28,28/01/2019,26.5,90,1.5,3,6.3
29,29/01/2019,27.8,81,2.8,3,0
30,30/01/2019,28.1,76,6.64,2,8.1
31,31/01/2019,27.3,81,0,3,5.5
32,01/02/2019,28.3,77,0,4,5.2
33,02/02/2019,28.4,77,0,4,10.7
34,03/02/2019,27.9,84,2.2,2,9.9
35,04/02/2019,28.1,81,0,2,7.8
36,05/02/2019,27.5,81,0,2,9
37,06/02/2019,26.7,82,0,3,9.7
38,07/02/2019,27.8,76,0,3,10.8
39,08/02/2019,28.3,78,0,2,9.7
40,09/02/2019,28.4,80,0,2,7.7
41,10/02/2019,28.4,78,0,4,10.4
42,11/02/2019,27.6,72,0,2,10.5
43,12/02/2019,27.8,77,0,3,10.6
44,13/02/2019,28.5,78,0,4,10.2
45,14/02/2019,28.5,76,0,3,10.3
46,15/02/2019,28.3,74,0,3,10
47,16/02/2019,28.2,76,0,3,6.6
48,17/02/2019,28.3,77,0,2,7.7
49,18/02/2019,26.1,83,14.1,2,6.8
50,19/02/2019,27.5,84,0,3,6.4
51,20/02/2019,28.2,80,0,2,8.3
52,21/02/2019,28.6,75,0,3,9
53,22/02/2019,28.3,78,0,3,9.5
54,23/02/2019,28.2,73,0,3,10.6
55,24/02/2019,27.6,76,0,3,10.5
56,25/02/2019,28.4,78,0,4,6.1
57,26/02/2019,28.9,76,0.74,4,10.9
58,27/02/2019,27.9,79,3.4,4,7.8
59,28/02/2019,28.7,74,0.5,3,6.2
60,01/03/2019,28.6,74,0,4,5.1
61,02/03/2019,28.4,68,0,3,9.5
