Date,Tavg,RH_avg,RR,ss,ff_avg
01/04/2020,29.0,79,0.0,7.8,3
02/04/2020,29.4,79,0.0,9.9,4
03/04/2020,29.8,75,0.0,9.0,3
04/04/2020,29.5,79,0.0,9.4,3
05/04/2020,29.2,80,0.0,4.5,3
06/04/2020,28.9,80,0.0,6.3,2
07/04/2020,26.8,88,62.3,4.0,2
08/04/2020,28.6,82,62.3,1.2,3
09/04/2020,29.3,78,0.0,9.1,3
10/04/2020,28.4,78,0.0,7.5,3
11/04/2020,28.5,84,0.2,8.1,2
12/04/2020,28.8,82,1.0,3.3,3
13/04/2020,27.9,87,32.4,3.8,4
14/04/2020,29.6,73,0.0,6.4,3
15/04/2020,29.6,74,0.0,7.7,4
16/04/2020,29.9,69,0.0,10.2,4
17/04/2020,29.0,79,0.0,10.2,2
18/04/2020,29.1,78,0.0,7.7,3
19/04/2020,29.5,76,0.0,7.2,4
20/04/2020,30.4,74,0.0,9.7,4
21/04/2020,28.8,80,0.0,10.0,2
22/04/2020,29.2,80,0.0,5.2,2
23/04/2020,27.4,89,0.0,5.8,1
24/04/2020,28.0,86,7.5,5.3,1
25/04/2020,28.2,81,0.5,4.5,2
26/04/2020,28.5,80,2.0,5.5,1
27/04/2020,28.0,83,0.2,3.1,2
28/04/2020,27.4,90,4.0,1.0,2
29/04/2020,27.0,90,41.6,3.1,1
30/04/2020,27.3,93,15.8,6.3,1
