Date,Tavg,RH_avg,RR,ss,ff_avg
01/10/2020,27.7,86,3.9,4.8,2
02/10/2020,27.8,84,3.9,3.8,3
03/10/2020,27.0,80,11.7,4.7,3
04/10/2020,27.4,84,0.0,3.5,2
05/10/2020,28.3,80,0.0,0.7,1
06/10/2020,27.8,83,0.0,2.5,3
07/10/2020,28.2,79,0.0,4.0,2
08/10/2020,26.5,84,59.5,5.4,3
09/10/2020,27.1,86,9.6,2.1,2
10/10/2020,26.1,89,23.1,0.0,3
11/10/2020,26.5,84,3.9,0.0,3
12/10/2020,28.4,78,0.6,0.6,3
13/10/2020,28.0,80,0.6,1.6,2
14/10/2020,28.5,82,0.0,1.9,3
15/10/2020,28.1,82,0.0,1.4,2
16/10/2020,27.9,81,16.3,4.4,2
17/10/2020,29.5,79,16.3,3.7,3
18/10/2020,28.9,81,0.0,8.9,2
19/10/2020,28.3,74,24.7,2.5,2
20/10/2020,27.8,85,24.7,6.8,1
21/10/2020,29.0,77,24.7,2.2,2
22/10/2020,26.9,82,29.5,4.0,4
23/10/2020,27.3,90,3.5,1.8,1
24/10/2020,26.1,93,1.0,0.0,2
25/10/2020,27.9,78,2.3,1.6,3
26/10/2020,26.1,92,31.0,9.6,1
27/10/2020,28.7,79,2.2,0.0,2
28/10/2020,27.3,91,2.2,8.1,1
29/10/2020,27.9,85,19.8,0.9,2
30/10/2020,27.6,85,0.0,4.9,1
31/10/2020,27.4,85,0.0,6.4,2
