Date,Tavg,RH_avg,RR,ss,ff_avg
01/09/2020,27.0,89.0,0.6,6.3,2.0
02/09/2020,27.5,88.0,1.1,3.8,1.0
03/09/2020,26.2,94.0,0.4,4.8,2.0
04/09/2020,27.3,83.0,4.8,2.0,2.0
05/09/2020,24.8,94.0,14.9,4.9,2.0
06/09/2020,26.0,89.0,37.5,0.0,2.0
07/09/2020,27.6,83.0,60.1,5.1,2.0
08/09/2020,28.0,88.0,0.0,4.8,2.0
09/09/2020,27.1,85.0,0.0,3.9,1.0
10/09/2020,27.4,84.0,0.6,4.7,2.0
11/09/2020,28.0,82.0,3.0,3.6,2.0
12/09/2020,25.4,95.0,1.9,3.6,1.0
13/09/2020,24.2,96.0,30.1,2.2,2.0
14/09/2020,24.5,95.0,29.3,0.0,2.0
15/09/2020,25.1,93.7,0.0,0.1,4.0
16/09/2020,25.8,92.3,0.0,0.2,6.0
17/09/2020,26.4,91.0,0.0,0.3,8.0
18/09/2020,28.5,79.0,0.0,0.3,11.0
19/09/2020,27.7,81.0,0.0,0.4,12.0
20/09/2020,26.4,87.5,0.0,0.5,9.5
21/09/2020,25.0,94.0,0.0,0.6,7.0
22/09/2020,27.9,82.0,0.0,0.7,7.0
23/09/2020,28.8,79.0,0.0,0.8,7.0
24/09/2020,27.7,81.0,0.0,0.9,9.0
25/09/2020,27.7,82.0,0.0,0.9,4.0
26/09/2020,27.4,80.0,0.0,1.0,12.0
27/09/2020,24.5,97.0,0.0,1.1,8.0
28/09/2020,28.0,84.0,0.1,1.2,2.0
29/09/2020,26.3,90.0,8.3,3.7,2.0
30/09/2020,26.7,92.0,3.4,0.0,2.0
