Date,Tavg,RH_avg,RR,ss,ff_avg
01/12/2021,28.8,80,0.0,9.7,3
02/12/2021,26.3,84,2.0,8.2,1
03/12/2021,27.2,82,80.9,0.0,3
04/12/2021,27.4,82,80.9,2.5,4
05/12/2021,27.4,81,80.9,5.4,3
06/12/2021,27.6,78,0.0,1.8,4
07/12/2021,28.1,77,0.0,3.5,4
08/12/2021,28.4,76,0.0,7.8,5
09/12/2021,28.4,75,0.0,4.3,4
10/12/2021,28.0,80,0.0,5.9,3
11/12/2021,26.9,90,6.1,5.5,3
12/12/2021,26.9,86,9.0,1.9,3
13/12/2021,26.7,84,0.7,0.1,4
14/12/2021,28.0,80,0.7,5.4,3
15/12/2021,27.4,85,0.0,5.5,2
16/12/2021,27.7,81,36.3,3.5,3
17/12/2021,27.9,80,2.6,7.1,3
18/12/2021,27.6,84,5.6,6.3,2
19/12/2021,27.2,84,22.9,2.0,3
20/12/2021,27.5,82,0.0,0.8,2
21/12/2021,27.9,84,0.0,2.7,4
22/12/2021,28.1,80,0.0,8.0,2
23/12/2021,27.0,91,1.2,2.8,1
24/12/2021,27.1,88,0.7,0.6,3
25/12/2021,27.9,83,0.7,0.4,4
26/12/2021,28.1,82,0.4,4.5,4
27/12/2021,28.3,77,0.0,7.0,4
28/12/2021,28.0,79,0.0,7.8,4
29/12/2021,27.8,84,0.0,8.6,3
30/12/2021,27.4,84,0.0,5.1,3
31/12/2021,26.5,91,0.0,1.5,3
