Date,Tavg,RH_avg,RR,ss,ff_avg
01/08/2022,27.9,86,0.0,7.1,2
02/08/2022,26.5,91,2.4,5.2,2
03/08/2022,27.2,83,10.5,3.8,3
04/08/2022,26.6,86,0.0,3.6,2
05/08/2022,27.1,83,1.0,0.8,2
06/08/2022,27.5,79,1.0,0.0,3
07/08/2022,28.3,80,1.0,5.3,3
08/08/2022,29.1,79,1.0,6.7,3
09/08/2022,28.3,81,1.0,6.5,3
10/08/2022,28.3,82,1.0,7.0,3
11/08/2022,29.1,81,1.0,7.0,3
12/08/2022,28.5,82,1.0,9.9,2
13/08/2022,26.9,85,1.0,6.0,2
14/08/2022,27.7,85,0.2,2.4,2
15/08/2022,28.0,83,0.2,8.7,2
16/08/2022,26.4,86,3.3,5.8,1
17/08/2022,27.9,86,1.8,0.9,3
18/08/2022,28.9,80,2.3,8.0,4
19/08/2022,27.5,87,0.2,6.1,2
20/08/2022,27.0,85,2.5,3.3,2
21/08/2022,26.1,88,0.2,3.8,3
22/08/2022,27.5,82,0.2,1.5,3
23/08/2022,26.4,92,0.2,6.9,2
24/08/2022,27.6,86,22.5,2.6,3
25/08/2022,26.6,90,9.1,5.3,3
26/08/2022,25.3,94,44.5,1.0,1
27/08/2022,26.2,92,9.2,0.0,2
28/08/2022,26.2,90,62.9,1.4,1
29/08/2022,26.6,87,1.1,2.2,1
30/08/2022,26.0,92,20.4,2.6,2
31/08/2022,27.5,86,5.1,0.6,2
