Date,Tavg,RH_avg,RR,ss,ff_avg
01/02/2023,26.3,86.0,13.4,0.0,4
02/02/2023,26.1,91.0,0.0,5.3,2
03/02/2023,25.9,92.0,14.6,5.1,3
04/02/2023,24.5,96.0,18.7,5.4,2
05/02/2023,25.8,92.0,25.0,0.7,2
06/02/2023,27.1,82.0,24.2,6.0,2
07/02/2023,27.2,84.5,24.2,5.3,4
08/02/2023,27.3,87.0,0.0,4.7,4
09/02/2023,27.1,84.0,0.0,5.4,3
10/02/2023,26.4,85.0,0.0,4.6,3
11/02/2023,27.4,86.0,29.6,5.3,3
12/02/2023,24.5,96.0,3.7,4.5,2
13/02/2023,26.8,87.0,23.0,0.7,3
14/02/2023,26.3,88.0,23.0,4.5,3
15/02/2023,26.1,89.0,62.9,5.5,4
16/02/2023,26.5,82.0,24.2,0.9,4
17/02/2023,29.1,69.0,0.0,9.0,5
18/02/2023,27.5,83.0,0.0,7.7,5
19/02/2023,27.5,81.0,0.0,9.7,5
20/02/2023,27.5,79.0,0.0,8.8,4
21/02/2023,27.6,78.0,0.0,3.7,5
22/02/2023,27.8,78.0,0.0,9.0,5
23/02/2023,27.8,76.0,0.0,4.8,4
24/02/2023,27.8,73.0,0.0,4.3,4
25/02/2023,27.3,78.0,0.0,7.6,5
26/02/2023,27.9,76.0,0.0,5.3,5
27/02/2023,27.0,84.0,0.4,5.4,5
28/02/2023,25.5,94.0,3.3,3.1,3
