Date,Tavg,RH_avg,RR,ss,ff_avg
01/03/2023,24.0,96,298.4,0.0,2
02/03/2023,24.5,94,5.4,0.0,3
03/03/2023,24.3,98,40.8,3.0,2
04/03/2023,24.1,95,99.2,3.0,3
05/03/2023,24.9,93,29.1,0.0,3
06/03/2023,25.0,90,6.1,0.0,4
07/03/2023,25.5,90,2.5,2.3,4
08/03/2023,27.1,84,10.6,1.2,5
09/03/2023,27.4,83,0.0,7.8,5
10/03/2023,27.3,83,0.0,9.6,6
11/03/2023,27.5,84,5.1,2.0,5
12/03/2023,27.1,86,0.0,5.7,5
13/03/2023,27.6,78,0.0,9.7,5
14/03/2023,26.8,80,0.0,5.0,5
15/03/2023,27.0,76,0.0,7.1,5
16/03/2023,27.5,84,0.0,6.1,5
17/03/2023,27.8,84,0.0,10.0,6
18/03/2023,27.7,80,0.0,9.8,5
19/03/2023,28.2,80,0.0,9.8,4
20/03/2023,28.3,81,0.0,3.0,5
21/03/2023,26.5,84,0.1,8.0,3
22/03/2023,28.3,86,0.0,7.1,3
23/03/2023,27.8,88,0.0,8.5,3
24/03/2023,28.1,83,0.0,9.7,3
25/03/2023,25.8,96,0.0,8.8,2
26/03/2023,27.7,84,49.7,2.5,2
27/03/2023,25.9,96,49.7,5.9,2
28/03/2023,28.0,83,20.4,0.0,3
29/03/2023,28.2,81,20.4,10.2,4
30/03/2023,28.6,78,0.0,9.0,3
31/03/2023,27.7,83,0.0,9.0,3
