Date,Tavg,RH_avg,RR,ss,ff_avg
01/11/2023,27.8,85,0.0,5.3,1
02/11/2023,28.9,79,4.9,5.9,2
03/11/2023,28.7,80,4.9,6.8,1
04/11/2023,26.9,89,0.0,4.1,1
05/11/2023,28.3,81,8.6,4.9,1
06/11/2023,27.8,85,8.6,6.6,2
07/11/2023,28.3,81,0.0,4.5,2
08/11/2023,27.4,88,0.0,3.8,1
09/11/2023,27.8,86,0.0,0.5,2
10/11/2023,28.1,84,5.7,2.7,2
11/11/2023,29.4,78,3.1,3.4,2
12/11/2023,28.0,85,0.0,7.5,2
13/11/2023,27.9,86,0.4,3.3,2
14/11/2023,26.8,91,16.5,6.2,2
15/11/2023,27.7,85,11.1,1.1,2
16/11/2023,28.1,85,14.8,5.7,2
17/11/2023,28.7,82,2.7,4.5,2
18/11/2023,29.3,79,2.7,7.4,4
19/11/2023,27.2,88,0.0,8.8,3
20/11/2023,28.4,83,0.0,0.0,3
21/11/2023,26.4,92,5.0,7.6,2
22/11/2023,26.7,89,53.6,1.0,2
23/11/2023,26.5,90,44.4,0.1,2
24/11/2023,27.9,83,52.0,1.5,3
25/11/2023,26.8,88,52.0,1.5,1
26/11/2023,26.7,89,1.1,0.4,2
27/11/2023,25.9,92,30.4,2.5,1
28/11/2023,27.4,88,1.4,0.0,2
29/11/2023,27.6,88,19.3,1.0,2
30/11/2023,26.9,88,0.1,1.9,2
