Date,Tavg,RH_avg,RR,ss,ff_avg
01/01/2019,28.2,76,118.0,5.4,2
02/01/2019,28.1,76,4.0,9.9,3
03/01/2019,29.2,77,0.0,9.4,3
04/01/2019,28.8,77,4.3,8.8,1
05/01/2019,27.8,87,0.0,1.8,3
06/01/2019,28.5,78,0.0,6.4,4
07/01/2019,29.1,75,0.0,8.8,4
08/01/2019,28.5,78,4.2,10.7,3
09/01/2019,28.4,80,3.5,4.4,3
10/01/2019,28.6,74,0.0,8.5,3
11/01/2019,27.1,84,8.0,10.0,3
12/01/2019,28.0,78,4.3,4.4,3
13/01/2019,27.9,80,0.0,10.6,3
14/01/2019,27.1,85,0.0,7.6,2
15/01/2019,27.8,78,0.1,5.7,1
16/01/2019,27.8,79,0.0,5.1,2
17/01/2019,26.6,87,0.0,5.2,2
18/01/2019,25.7,90,37.9,4.7,2
19/01/2019,27.5,78,4.0,0.0,2
20/01/2019,27.7,80,0.0,2.1,2
21/01/2019,27.9,78,0.0,8.5,3
22/01/2019,27.2,78,0.0,3.7,3
23/01/2019,28.0,77,0.0,2.7,5
24/01/2019,28.1,73,0.0,9.1,3
25/01/2019,27.4,76,0.0,6.8,3
26/01/2019,27.3,74,0.0,6.8,3
27/01/2019,28.2,74,0.0,5.9,4
28/01/2019,26.5,90,1.5,6.3,3
29/01/2019,27.8,81,2.8,0.0,3
30/01/2019,28.1,76,2.8,8.1,2
31/01/2019,27.3,81,0.0,5.5,3
01/02/2019,28.3,77,0.0,5.2,4
02/02/2019,28.4,77,0.0,10.7,4
03/02/2019,27.9,84,2.2,9.9,2
04/02/2019,28.1,81,0.0,7.8,2
05/02/2019,27.5,81,0.0,9.0,2
06/02/2019,26.7,82,0.0,9.7,3
07/02/2019,27.8,76,0.0,10.8,3
08/02/2019,28.3,78,0.0,9.7,2
09/02/2019,28.4,80,0.0,7.7,2
10/02/2019,28.4,78,0.0,10.4,4
11/02/2019,27.6,72,0.0,10.5,2
12/02/2019,27.8,77,0.0,10.6,3
13/02/2019,28.5,78,0.0,10.2,4
14/02/2019,28.5,76,0.0,10.3,3
15/02/2019,28.3,74,0.0,10.0,3
16/02/2019,28.2,76,0.0,6.6,3
17/02/2019,28.3,77,0.0,7.7,2
18/02/2019,26.1,83,14.1,6.8,2
19/02/2019,27.5,84,0.0,6.4,3
20/02/2019,28.2,80,0.0,8.3,2
21/02/2019,28.6,75,0.0,9.0,3
22/02/2019,28.3,78,0.0,9.5,3
23/02/2019,28.2,73,0.0,10.6,3
24/02/2019,27.6,76,0.0,10.5,3
25/02/2019,28.4,78,0.0,6.1,4
26/02/2019,28.9,76,0.0,10.9,4
27/02/2019,27.9,79,3.4,7.8,4
28/02/2019,28.7,74,0.5,6.2,3
01/03/2019,28.6,74,0.0,5.1,4
02/03/2019,28.4,68,0.0,9.5,3
03/03/2019,27.1,76,0.0,9.2,2
04/03/2019,27.6,76,0.0,9.5,2
05/03/2019,27.9,77,0.0,7.9,2
