Date,Tavg,RH_avg,RR,ss,ff_avg
01/11/2019,28.2,77,0.0,0.8,1
02/11/2019,28.2,81,0.0,3.8,0
03/11/2019,27.7,76,0.0,7.6,0
04/11/2019,27.8,82,0.0,1.0,0
05/11/2019,26.2,92,19.5,5.4,0
06/11/2019,28.3,83,19.5,1.4,1
07/11/2019,29.7,79,0.0,7.5,1
08/11/2019,28.1,76,0.0,7.2,1
09/11/2019,28.8,79,0.0,0.7,1
10/11/2019,28.8,75,0.0,4.9,0
11/11/2019,28.0,83,0.0,7.0,1
12/11/2019,27.7,86,0.0,4.4,0
13/11/2019,28.5,82,0.0,1.0,1
14/11/2019,27.2,85,5.0,6.0,1
15/11/2019,27.4,85,12.5,1.3,0
16/11/2019,28.4,82,12.5,2.5,1
17/11/2019,28.2,81,0.0,6.4,1
18/11/2019,28.8,79,0.0,6.3,2
19/11/2019,28.3,82,0.0,6.9,1
20/11/2019,26.2,93,0.5,0.8,1
21/11/2019,26.0,90,37.9,0.0,1
22/11/2019,27.7,84,1.4,1.5,1
23/11/2019,26.4,91,0.0,6.3,1
24/11/2019,27.3,86,1.2,0.0,1
25/11/2019,28.1,84,0.6,6.9,1
26/11/2019,28.6,80,13.0,7.4,1
27/11/2019,26.7,91,0.0,10.4,1
28/11/2019,28.2,84,17.4,2.2,1
29/11/2019,26.5,92,0.0,6.6,1
30/11/2019,28.3,84,0.0,3.4,1
