Date,Tavg,RH_avg,RR,ss,ff_avg
01/08/2020,28.3,81,29.4,5.6,3
02/08/2020,28.3,80,6.4,3.9,4
03/08/2020,28.0,81,6.4,8.6,3
04/08/2020,27.3,87,0.0,5.3,2
05/08/2020,28.2,82,8.3,0.8,3
06/08/2020,28.4,84,0.0,6.0,2
07/08/2020,28.4,84,0.0,0.9,3
08/08/2020,29.5,76,0.0,9.0,3
09/08/2020,29.6,80,0.0,10.3,3
10/08/2020,29.6,80,0.0,7.7,4
11/08/2020,29.7,79,0.0,10.6,3
12/08/2020,27.1,83,0.0,4.5,1
13/08/2020,27.9,76,7.4,2.6,2
14/08/2020,25.8,94,2.2,7.3,1
15/08/2020,27.2,88,9.7,0.0,1
16/08/2020,26.7,88,13.0,5.2,2
17/08/2020,27.8,82,0.7,1.6,1
18/08/2020,26.8,85,0.7,5.5,2
19/08/2020,27.7,84,3.1,3.0,2
20/08/2020,28.1,84,3.1,6.2,2
21/08/2020,29.0,76,1.0,1.4,3
22/08/2020,26.7,88,0.0,7.5,2
23/08/2020,25.1,94,0.0,3.4,1
24/08/2020,26.3,95,80.5,0.0,2
25/08/2020,25.8,95,6.7,6.5,2
26/08/2020,24.8,94,28.1,0.9,2
27/08/2020,26.3,87,0.2,4.2,2
28/08/2020,27.6,82,0.1,4.3,2
29/08/2020,26.2,93,0.1,7.5,2
30/08/2020,28.2,83,14.9,3.1,3
31/08/2020,28.0,83,14.9,8.1,3
