Date,Tavg,RH_avg,RR,ss,ff_avg
01/02/2020,28.6,76,0.0,10.4,6
02/02/2020,27.2,82,2.0,10.1,5
03/02/2020,28.1,73,0.0,3.5,4
04/02/2020,27.7,72,0.0,9.3,4
05/02/2020,28.0,76,0.0,8.5,4
06/02/2020,28.0,77,0.0,9.0,5
07/02/2020,28.3,72,0.0,9.1,4
08/02/2020,27.7,71,0.0,7.4,3
09/02/2020,26.4,85,0.0,2.5,2
10/02/2020,26.9,84,13.8,0.0,3
11/02/2020,27.1,88,0.0,7.5,4
12/02/2020,28.1,84,0.4,4.9,4
13/02/2020,27.6,84,15.5,6.3,4
14/02/2020,28.0,79,0.0,9.5,4
15/02/2020,28.0,78,0.0,9.9,3
16/02/2020,28.0,81,0.0,10.8,3
17/02/2020,28.2,76,0.0,4.4,3
18/02/2020,26.8,85,0.0,10.2,4
19/02/2020,28.7,74,0.0,6.6,5
20/02/2020,28.1,76,2.2,8.2,4
21/02/2020,26.7,87,1.2,9.9,5
22/02/2020,28.7,74,2.2,9.0,5
23/02/2020,28.7,73,2.2,9.8,5
24/02/2020,27.2,82,0.2,9.8,5
25/02/2020,28.2,77,4.0,2.2,5
26/02/2020,28.5,76,0.0,10.6,4
27/02/2020,28.4,76,0.0,11.0,4
28/02/2020,28.4,78,0.0,10.6,5
29/02/2020,28.1,73,0.0,8.8,4
