Date,Tavg,RH_avg,RR,ss,ff_avg
01/03/2020,28.4,74,0.0,10.1,4
02/03/2020,27.6,81,0.0,9.6,4
03/03/2020,28.4,78,0.0,10.5,4
04/03/2020,28.7,77,0.0,9.0,4
05/03/2020,28.0,78,0.0,7.9,2
06/03/2020,28.5,81,0.0,0.0,3
07/03/2020,28.0,86,0.0,1.9,3
08/03/2020,28.2,82,10.0,6.4,2
09/03/2020,27.6,85,10.0,7.6,3
10/03/2020,28.5,80,0.0,8.6,4
11/03/2020,29.0,80,0.0,8.7,4
12/03/2020,29.0,72,0.0,9.3,4
13/03/2020,29.1,77,0.0,9.4,4
14/03/2020,29.4,76,0.0,10.5,4
15/03/2020,29.6,76,0.0,7.8,5
16/03/2020,29.6,75,1.6,10.1,5
17/03/2020,29.1,68,1.6,9.6,5
18/03/2020,29.1,74,0.0,10.0,4
19/03/2020,28.6,71,0.0,10.0,4
20/03/2020,28.4,73,0.0,8.8,4
21/03/2020,28.8,75,0.0,5.4,3
22/03/2020,28.9,78,1.3,4.1,3
23/03/2020,26.5,91,6.8,7.4,1
24/03/2020,28.0,84,8.6,0.9,3
25/03/2020,28.6,81,0.0,9.4,4
26/03/2020,29.2,80,0.0,8.4,4
27/03/2020,29.0,80,0.0,7.5,3
28/03/2020,28.3,82,0.0,8.1,3
29/03/2020,29.0,72,0.0,7.7,4
30/03/2020,28.8,73,0.0,9.3,4
31/03/2020,29.3,74,0.0,9.2,3
