Date,Tavg,RH_avg,RR,ss,ff_avg
01/06/2021,27.6,91,8.7,4.6,2
02/06/2021,28.8,84,8.7,5.5,2
03/06/2021,28.8,87,8.7,4.4,2
04/06/2021,29.5,84,0.4,7.3,2
05/06/2021,29.3,81,4.7,4.7,2
06/06/2021,28.7,82,4.7,5.8,3
07/06/2021,28.8,82,4.7,9.6,2
08/06/2021,28.8,84,0.2,7.0,2
09/06/2021,27.6,87,0.5,5.1,1
10/06/2021,27.4,86,0.9,2.0,2
11/06/2021,28.0,83,0.0,5.2,2
12/06/2021,29.2,75,0.0,1.1,3
13/06/2021,27.3,84,1.0,5.4,2
14/06/2021,28.1,86,1.0,1.9,1
15/06/2021,26.8,91,0.0,4.3,2
16/06/2021,27.7,88,8.5,3.2,2
17/06/2021,28.7,83,8.5,6.8,2
18/06/2021,26.0,90,8.5,6.0,1
19/06/2021,27.5,85,8.2,0.1,1
20/06/2021,27.8,83,1.8,0.0,2
21/06/2021,27.2,81,48.1,6.0,2
22/06/2021,27.5,87,48.1,7.9,2
23/06/2021,27.5,84,0.0,1.1,1
24/06/2021,27.4,83,4.2,4.6,1
25/06/2021,26.3,90,0.4,4.6,1
26/06/2021,27.5,85,35.0,3.5,2
27/06/2021,25.6,93,0.4,5.9,1
28/06/2021,26.6,88,7.1,0.4,1
29/06/2021,27.4,87,5.3,4.7,2
30/06/2021,28.3,76,1.4,3.0,2
