Date,Tavg,RH_avg,RR,ss,ff_avg
01/04/2022,29.5,76,0.0,3.0,2
02/04/2022,27.8,84,0.0,8.1,1
03/04/2022,26.8,86,2.0,2.8,2
04/04/2022,28.9,75,2.0,2.5,2
05/04/2022,27.8,82,0.0,5.7,2
06/04/2022,28.2,78,0.0,2.6,2
07/04/2022,25.8,90,9.2,7.5,1
08/04/2022,27.9,79,36.8,0.0,3
09/04/2022,25.9,89,31.5,3.9,1
10/04/2022,27.3,85,3.8,0.3,1
11/04/2022,26.9,87,0.0,5.0,1
12/04/2022,27.9,84,16.3,4.2,1
13/04/2022,26.4,88,7.5,3.4,2
14/04/2022,28.7,80,61.0,2.6,2
15/04/2022,27.3,85,61.0,7.8,2
16/04/2022,28.2,83,34.8,3.3,2
17/04/2022,28.5,82,1.0,3.7,3
18/04/2022,27.2,86,50.7,7.1,2
19/04/2022,27.9,84,0.9,1.7,2
20/04/2022,28.3,83,0.2,4.5,2
21/04/2022,25.9,90,0.2,2.0,1
22/04/2022,28.9,80,12.5,0.0,4
23/04/2022,29.5,76,0.0,8.7,2
24/04/2022,28.6,81,2.5,8.9,2
25/04/2022,27.8,85,2.5,4.5,1
26/04/2022,28.5,84,2.1,6.7,1
27/04/2022,27.1,92,2.1,2.4,2
28/04/2022,28.4,84,8.5,1.2,2
29/04/2022,28.1,85,0.0,5.4,2
30/04/2022,28.9,80,10.9,6.0,2
