Date,Tavg,RH_avg,RR,ss,ff_avg
01/09/2022,27.3,84,0.0,4.1,1
02/09/2022,25.7,91,0.0,8.0,2
03/09/2022,27.7,82,17.7,2.2,3
04/09/2022,27.1,89,17.7,4.9,2
05/09/2022,26.6,89,7.3,0.9,2
06/09/2022,27.6,83,7.1,3.0,2
07/09/2022,25.3,90,6.8,6.8,2
08/09/2022,27.9,82,16.7,0.7,1
09/09/2022,25.6,92,3.1,0.5,1
10/09/2022,28.2,81,33.8,2.0,3
11/09/2022,27.0,83,33.8,6.4,1
12/09/2022,28.2,77,0.9,2.0,1
13/09/2022,25.8,89,0.9,7.4,2
14/09/2022,25.6,87,22.6,2.2,3
15/09/2022,27.2,84,8.5,1.3,1
16/09/2022,27.9,82,8.5,3.7,2
17/09/2022,27.2,88,8.5,4.7,2
18/09/2022,24.6,95,11.2,2.3,2
19/09/2022,27.1,85,34.8,0.0,2
20/09/2022,26.7,88,0.0,0.7,1
21/09/2022,28.4,80,0.0,0.0,2
22/09/2022,25.7,86,0.0,8.0,2
23/09/2022,28.0,81,4.8,0.1,2
24/09/2022,27.2,84,0.0,3.3,2
25/09/2022,26.7,86,33.7,4.5,2
26/09/2022,27.4,84,17.2,2.6,2
27/09/2022,27.5,84,0.0,0.1,2
28/09/2022,28.1,81,0.0,2.2,2
29/09/2022,27.6,82,1.0,5.0,1
30/09/2022,28.0,84,0.0,5.0,1
