Date,Tavg,RH_avg,RR,ss,ff_avg
01/01/2023,27.0,81,0.8,2.9,3
02/01/2023,27.4,81,0.0,2.9,3
03/01/2023,27.0,84,0.0,3.6,3
04/01/2023,26.4,86,3.5,5.8,3
05/01/2023,26.5,88,3.5,0.0,2
06/01/2023,27.9,79,2.2,5.6,2
07/01/2023,27.5,79,1.8,7.3,2
08/01/2023,28.3,77,0.0,6.1,3
09/01/2023,27.7,84,0.0,9.5,2
10/01/2023,26.7,90,0.0,5.0,2
11/01/2023,25.1,91,12.0,2.7,1
12/01/2023,27.5,82,2.4,1.3,2
13/01/2023,27.3,84,0.0,6.1,2
14/01/2023,27.5,86,0.0,7.0,2
15/01/2023,27.7,82,0.0,3.7,2
16/01/2023,27.7,76,0.4,5.0,4
17/01/2023,27.9,75,0.0,5.4,4
18/01/2023,27.5,80,0.0,9.4,4
19/01/2023,25.9,90,0.0,7.6,3
20/01/2023,25.7,95,16.8,4.9,3
21/01/2023,27.3,83,47.4,2.3,4
22/01/2023,27.3,87,47.4,9.4,4
23/01/2023,24.8,98,25.3,7.4,2
24/01/2023,24.0,97,57.6,0.0,2
25/01/2023,23.8,98,14.3,0.0,3
26/01/2023,25.1,91,148.8,0.0,3
27/01/2023,26.5,84,0.5,0.0,4
28/01/2023,23.9,97,5.0,2.5,4
29/01/2023,24.8,92,32.6,0.0,5
30/01/2023,26.0,89,2.6,0.0,5
31/01/2023,25.0,93,0.9,1.4,3
