Date,Tavg,RH_avg,RR,ss,ff_avg
01/10/2023,27.8,86,22.9,2.3,2
02/10/2023,29.2,81,0.0,2.1,3
03/10/2023,26.1,88,0.0,7.0,2
04/10/2023,28.5,84,15.5,3.7,2
05/10/2023,29.1,81,15.5,5.6,2
06/10/2023,29.4,83,15.5,9.3,3
07/10/2023,29.0,83,0.0,7.3,2
08/10/2023,29.0,79,0.0,6.7,3
09/10/2023,29.1,81,0.0,6.3,2
10/10/2023,28.9,81,0.0,8.7,1
11/10/2023,29.1,81,0.0,6.4,2
12/10/2023,29.3,80,0.0,7.9,2
13/10/2023,29.5,78,0.0,7.8,2
14/10/2023,29.2,78,0.0,7.7,2
15/10/2023,29.8,75,0.0,6.2,3
16/10/2023,29.4,78,0.0,9.0,2
17/10/2023,30.0,76,0.0,3.9,2
18/10/2023,27.1,89,0.0,6.0,2
19/10/2023,29.2,79,5.5,2.1,3
20/10/2023,27.8,82,5.5,9.8,2
21/10/2023,27.2,90,5.5,3.0,2
22/10/2023,27.3,87,9.0,3.9,2
23/10/2023,27.6,85,9.5,2.3,2
24/10/2023,28.1,82,9.5,4.0,2
25/10/2023,26.1,93,9.5,6.1,1
26/10/2023,27.5,85,53.4,3.1,2
27/10/2023,28.3,83,0.7,6.5,2
28/10/2023,25.9,92,0.8,4.8,2
29/10/2023,28.2,82,25.5,3.0,1
30/10/2023,28.2,79,0.0,8.8,1
31/10/2023,28.4,82,0.0,6.0,2
