Date,Tavg,RH_avg,RR,ss,ff_avg
01/01/2022,25.9,90,50.6,3.3,2
02/01/2022,24.3,97,55.8,1.4,2
03/01/2022,26.4,84,11.8,0.0,2
04/01/2022,26.7,84,11.8,4.0,3
05/01/2022,27.6,81,0.0,3.8,3
06/01/2022,27.9,78,0.0,6.6,4
07/01/2022,27.9,81,0.0,8.7,4
08/01/2022,27.9,82,0.0,8.4,4
09/01/2022,28.0,80,0.0,4.6,5
10/01/2022,27.8,82,0.0,9.2,4
11/01/2022,27.2,82,0.0,7.6,4
12/01/2022,27.9,75,0.0,2.2,5
13/01/2022,27.2,76,0.0,7.6,4
14/01/2022,27.2,78,0.0,9.6,4
15/01/2022,27.9,76,0.0,6.9,5
16/01/2022,28.1,78,0.0,8.6,5
17/01/2022,27.9,80,0.0,7.0,5
18/01/2022,27.9,73,3.6,3.7,4
19/01/2022,27.3,78,0.0,9.3,4
20/01/2022,27.2,78,6.1,4.9,4
21/01/2022,27.4,78,0.0,2.5,5
22/01/2022,27.8,77,0.0,8.7,4
23/01/2022,26.9,82,0.0,8.1,4
24/01/2022,27.1,82,0.0,9.8,4
25/01/2022,27.5,79,0.0,2.5,4
26/01/2022,27.6,78,0.0,9.1,3
27/01/2022,27.3,79,0.0,7.6,3
28/01/2022,27.3,79,0.0,8.3,4
29/01/2022,27.4,79,0.0,9.5,4
30/01/2022,27.4,80,0.0,8.9,4
31/01/2022,27.5,82,0.0,8.1,4
01/02/2022,28.1,77,15.7,5.9,5
02/02/2022,28.2,77,15.7,7.0,4
03/02/2022,28.5,79,15.7,8.5,6
04/02/2022,28.6,77,15.7,8.9,6
05/02/2022,27.8,81,0.1,7.9,5
06/02/2022,25.5,93,58.0,8.2,2
07/02/2022,26.1,87,37.4,6.0,3
08/02/2022,26.5,85,0.8,0.0,2
09/02/2022,26.2,88,1.8,0.0,2
10/02/2022,24.1,93,76.8,3.0,2
11/02/2022,25.4,89,7.0,0.0,2
12/02/2022,27.4,78,14.8,0.0,4
13/02/2022,27.8,80,0.0,8.3,4
14/02/2022,28.0,82,0.0,5.9,4
15/02/2022,28.0,84,0.0,7.0,3
16/02/2022,25.3,84,0.0,4.9,2
17/02/2022,28.1,79,6.1,0.5,4
18/02/2022,28.5,78,6.1,6.0,4
19/02/2022,27.8,82,6.1,8.7,2
20/02/2022,27.2,86,0.5,7.2,3
21/02/2022,28.1,79,4.3,5.7,4
22/02/2022,28.0,78,0.0,7.5,4
23/02/2022,26.9,83,0.0,9.1,3
24/02/2022,25.8,83,6.3,7.1,2
25/02/2022,27.7,79,11.7,0.0,2
26/02/2022,26.4,87,1.7,9.5,3
27/02/2022,28.1,80,0.1,0.0,5
28/02/2022,28.2,79,0.1,4.1,5
01/03/2022,27.6,83,3.4,8.8,3
02/03/2022,27.5,84,3.4,5.2,4
03/03/2022,26.9,86,12.8,8.0,2
04/03/2022,27.6,82,38.5,6.4,3
05/03/2022,27.8,80,0.0,8.1,2
06/03/2022,27.1,86,37.8,8.2,2
07/03/2022,27.7,83,1.2,1.8,4
08/03/2022,28.2,78,0.0,4.5,3
09/03/2022,28.3,82,0.0,8.1,4
10/03/2022,27.0,84,3.0,4.3,4
11/03/2022,28.0,80,4.4,3.6,4
12/03/2022,27.8,79,0.0,7.1,3
13/03/2022,28.8,79,0.0,9.0,4
14/03/2022,28.6,80,0.0,8.7,3
15/03/2022,26.4,86,0.0,6.5,2
