Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2010,26,33.4,29.1,76,0.0,8.0,7,45,3,NE
02-05-2010,26,33.2,29.7,74,0.0,7.7,7,45,3,NE
03-05-2010,26,33.1,28.2,82,0.0,3.0,5,90,2,E 
04-05-2010,26,34.5,29.5,76,0.0,8.0,5,90,2,E 
05-05-2010,27,33.9,29.6,79,0.0,7.6,6,90,3,NE
06-05-2010,25,34.2,29.4,78,0.1,4.0,5,90,2,E 
07-05-2010,26,33.6,29.0,79,0.0,5.0,4,90,2,E 
08-05-2010,27,34.3,30.5,74,0.0,7.4,6,45,2,NE
09-05-2010,26,33.2,27.9,83,7.8,4.3,4,225,1,SW
10-05-2010,26,32.2,28.7,88,1.4,3.4,4,225,1,NE
11-05-2010,26,31.6,27.1,93,44.4,2.1,5,225,0,W 
12-05-2010,26,33.6,29.3,84,0.2,4.7,5,225,1,SW
13-05-2010,25,31.6,27.3,92,14.6,1.8,5,180,1,S 
14-05-2010,25,32.9,28.3,89,58.2,3.8,5,315,1,NW
15-05-2010,26,32.2,28.2,86,58.2,1.7,3,315,0,NW
16-05-2010,25,33.2,28.9,83,25.0,5.9,9,45,3,NW
17-05-2010,24,31.2,27.6,86,0.4,0.5,3,360,1,N 
18-05-2010,25,33.2,29.5,82,1.2,7.7,7,45,3,NE
19-05-2010,26,30.4,27.3,90,0.9,0.0,3,360,0,N 
20-05-2010,25,33.5,29.2,80,1.7,6.8,5,45,2,NE
21-05-2010,25,32.8,28.5,84,0.5,4.2,4,90,1,E 
22-05-2010,26,31.3,27.5,86,1.0,1.0,4,270,2,W 
23-05-2010,26,32.8,28.7,79,0.0,6.0,5,180,3,S 
24-05-2010,26,33.3,28.4,87,0.0,4.5,4,180,2,SE
25-05-2010,26,32.2,28.3,89,0.3,5.2,6,135,2,SE
26-05-2010,27,33.7,29.8,80,0.0,6.4,4,180,2,S 
27-05-2010,25,32.6,28.7,85,0.0,3.7,6,180,2,S 
28-05-2010,26,33.5,28.9,84,0.0,5.2,6,135,2,SE
29-05-2010,25,33.8,29.2,84,1.6,5.4,5,135,2,SE
30-05-2010,25,32.2,28.4,84,1.2,3.7,7,270,2,SW
31-05-2010,25,30.3,26.6,94,3.9,1.4,3,180,1,W 
