Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-12-2012,25,31.3,27.2,88,11.2,4.5,7,240,3,E 
02-12-2012,24,29.4,26.8,90,0.0,2.3,5,30,3,NW
03-12-2012,24,29.8,25.3,93,0.0,0.3,6,260,3,N 
04-12-2012,24,30.5,26.7,84,0.0,0.0,6,30,4,NW
05-12-2012,24,29.8,26.4,89,0.0,2.7,6,50,3,N 
06-12-2012,24,31.6,26.9,88,0.0,0.3,9,40,4,N 
07-12-2012,23,31.7,28.1,82,0.0,4.3,9,50,5,N 
08-12-2012,25,30.6,27.6,83,1.7,3.6,8,50,4,NE
09-12-2012,25,29.6,26.5,84,0.0,1.3,6,20,5,NE
10-12-2012,24,30.5,26.3,89,0.0,0.2,5,350,3,NE
11-12-2012,24,28.7,26.7,90,0.5,3.7,4,320,3,NW
12-12-2012,23,30.8,26.6,87,0.5,2.7,5,310,3,NW
13-12-2012,24,30.2,25.9,92,1.3,3.4,4,230,3,SW
14-12-2012,24,30.3,26.8,87,4.6,1.7,5,30,3,E 
15-12-2012,22,30.4,26.0,90,0.0,2.9,5,120,4,SE
16-12-2012,24,30.0,25.0,95,0.0,2.7,6,200,4,SW
17-12-2012,23,30.1,25.5,92,0.6,1.0,6,30,3,NE
18-12-2012,24,27.2,25.4,94,0.0,2.0,3,40,2,W 
19-12-2012,24,30.0,26.6,87,0.2,0.0,3,310,2,NW
20-12-2012,24,30.4,26.9,82,2.9,2.1,7,30,5,NE
21-12-2012,24,31.2,27.9,86,0.0,5.4,6,60,4,E 
22-12-2012,25,31.7,27.2,86,0.0,3.4,5,40,3,NW
23-12-2012,25,29.7,27.2,85,0.0,2.6,5,360,3,NW
24-12-2012,26,30.5,26.6,88,0.9,1.4,5,70,3,NW
25-12-2012,24,26.4,25.0,94,0.0,0.6,5,70,3,N 
26-12-2012,24,30.3,26.8,82,0.0,0.0,6,30,4,N 
27-12-2012,25,29.0,26.9,86,0.0,1.1,5,340,3,N 
28-12-2012,25,31.2,27.3,85,0.0,0.5,7,30,4,N 
29-12-2012,23,29.7,26.6,89,0.3,5.0,3,300,3,NW
30-12-2012,25,30.8,27.1,89,0.0,0.2,6,260,4,W 
31-12-2012,25,29.1,25.2,94,0.0,2.9,4,260,3,N 
