Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-06-2013,25,33.6,28.6,80,1.5,6.1,5,70,3,NW
02-06-2013,25,33.6,27.8,87,0.0,5.1,7,280,3,SE
03-06-2013,25,31.7,26.4,86,0.0,4.7,4,200,2,SE
04-06-2013,25,30.7,27.5,88,0.0,1.9,4,180,3,S 
05-06-2013,25,32.7,27.0,86,0.0,2.2,7,50,4,NE
06-06-2013,24,32.3,28.8,83,0.0,5.2,8,50,6,NE
07-06-2013,26,32.8,29.2,80,0.0,4.3,7,60,4,NE
08-06-2013,25,32.4,28.5,84,0.0,6.2,4,150,2,E 
09-06-2013,26,30.5,27.7,82,0.0,3.2,5,230,3,SW
10-06-2013,25,33.4,28.8,75,4.5,2.5,5,240,3,W 
11-06-2013,25,32.8,28.6,76,0.0,6.1,5,220,3,SW
12-06-2013,25,32.5,28.2,73,0.0,4.8,7,230,5,W 
13-06-2013,25,33.0,28.6,77,0.0,2.6,5,220,4,SW
14-06-2013,25,33.6,29.1,77,0.0,5.2,5,220,3,SW
15-06-2013,26,34.1,28.8,77,0.0,4.2,4,200,3,SW
16-06-2013,25,33.8,29.4,76,1.0,5.4,5,190,3,S 
17-06-2013,25,32.6,28.7,74,0.0,3.0,9,280,5,W 
18-06-2013,25,33.8,29.2,72,0.0,2.0,7,280,5,W 
19-06-2013,25,33.6,28.6,74,0.0,6.0,7,270,5,W 
20-06-2013,24,33.8,28.6,68,0.0,5.4,5,280,4,W 
21-06-2013,25,33.9,29.5,68,0.0,4.6,4,270,3,SW
22-06-2013,25,34.8,29.1,70,0.0,3.0,4,230,3,SW
23-06-2013,25,33.8,29.1,77,0.0,5.4,7,210,4,SW
24-06-2013,26,33.4,29.7,80,0.0,5.0,7,110,4,SE
25-06-2013,27,33.6,29.6,82,0.0,5.0,5,40,3,E 
26-06-2013,26,30.3,26.6,90,0.0,3.9,5,40,2,NE
27-06-2013,24,32.9,27.8,79,0.0,0.1,4,190,3,W 
28-06-2013,24,32.1,26.8,85,0.0,4.1,4,230,2,SW
29-06-2013,24,32.2,26.4,92,0.0,2.6,4,210,3,SW
30-06-2013,23,29.5,27.2,79,0.0,3.0,9,280,6,W 
