Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-07-2017,25.2,32.2,28.0,81,0.0,9.2,6,140,2,N 
02-07-2017,24.5,31.8,27.4,85,0.0,5.6,6,130,2,N 
03-07-2017,23.6,29.0,25.1,90,0.0,6.3,7,270,2,N 
04-07-2017,22.8,31.7,27.7,82,19.3,2.1,6,200,2,N 
05-07-2017,23.6,31.2,26.8,85,0.0,11.0,7,190,2,N 
06-07-2017,24.6,30.6,27.2,82,0.0,2.7,6,150,3,SE
07-07-2017,24.6,32.0,27.9,78,0.0,1.6,8,200,3,S 
08-07-2017,24.9,30.7,27.1,86,0.0,1.0,8,200,2,N 
09-07-2017,24.8,29.5,26.6,87,0.8,2.3,6,210,2,N 
10-07-2017,24.0,32.4,28.3,76,0.8,3.2,6,200,2,S 
11-07-2017,23.7,30.0,26.8,83,9.8,10.6,7,220,2,S 
12-07-2017,23.6,27.8,25.9,90,18.2,1.3,6,190,2,S 
13-07-2017,23.6,27.5,25.9,91,4.6,0.0,8,170,2,N 
14-07-2017,23.6,27.2,25.0,93,3.3,0.2,8,180,1,N 
15-07-2017,23.1,30.5,27.4,81,4.7,0.1,6,260,4,S 
16-07-2017,24.9,31.2,27.8,75,0.0,2.7,9,190,5,S 
17-07-2017,23.8,31.8,28.2,76,0.0,8.8,7,200,3,S 
18-07-2017,25.0,31.2,27.8,81,0.0,8.0,7,180,3,S 
19-07-2017,24.8,31.6,27.9,79,0.0,2.2,5,200,2,S 
20-07-2017,25.0,32.5,28.7,78,0.0,8.4,6,230,3,SE
21-07-2017,26.0,31.6,29.0,78,0.0,6.9,7,120,4,SE
22-07-2017,27.2,31.9,29.0,78,0.0,9.3,6,130,4,SE
23-07-2017,26.7,32.3,28.9,78,0.0,9.7,8,140,4,SE
24-07-2017,26.0,32.6,29.0,75,0.0,8.7,8,190,4,SE
25-07-2017,26.6,32.2,29.2,76,0.0,7.3,7,150,5,SE
26-07-2017,26.3,32.8,28.4,78,0.0,10.3,8,140,4,S 
27-07-2017,26.0,33.0,29.0,75,0.0,2.5,8,170,4,S 
28-07-2017,26.8,32.4,29.0,77,0.0,9.5,8,140,3,N 
29-07-2017,26.0,32.8,29.0,79,0.0,10.3,9,200,4,S 
30-07-2017,25.7,32.0,28.2,83,0.0,10.5,7,140,4,SE
31-07-2017,25.4,32.2,28.0,84,2.4,7.6,6,150,3,S 
