Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-10-2018,26.4,33.8,29.1,76,0.0,7.5,6,120,2,E 
02-10-2018,25.5,33.8,29.2,76,0.0,8.5,4,130,2,N 
03-10-2018,26.0,33.5,29.5,74,0.0,9.0,6,130,2,SE
04-10-2018,25.8,33.4,29.2,75,0.0,7.7,7,120,2,SE
05-10-2018,25.7,34.6,29.6,71,0.0,9.1,7,140,3,SE
06-10-2018,26.0,32.8,27.3,85,0.0,7.6,4,50,1,N 
07-10-2018,24.1,31.1,27.1,85,12.7,4.0,4,40,1,N 
08-10-2018,24.4,30.6,27.2,87,16.7,4.9,4,50,1,N 
09-10-2018,24.6,29.6,26.1,89,1.2,3.9,3,200,1,N 
10-10-2018,24.2,31.6,26.7,85,10.6,1.2,3,70,1,N 
11-10-2018,24.3,32.0,26.6,84,0.0,1.5,5,60,1,N 
12-10-2018,23.4,31.3,26.6,85,27.5,5.1,5,250,2,W 
13-10-2018,23.2,29.0,25.3,91,7.9,2.3,3,250,1,N 
14-10-2018,23.4,26.6,25.1,93,17.6,0.0,3,310,0,N 
15-10-2018,23.5,32.3,28.2,79,7.3,0.0,5,230,1,N 
16-10-2018,23.9,31.4,26.3,87,7.3,9.7,5,70,1,N 
17-10-2018,24.2,30.4,27.0,85,9.7,5.3,4,270,1,N 
18-10-2018,24.4,30.4,26.3,84,9.7,2.1,4,270,2,N 
19-10-2018,24.2,32.3,28.3,77,9.7,0.3,5,270,1,N 
20-10-2018,24.6,32.5,28.8,77,0.0,9.4,6,210,2,N 
21-10-2018,23.0,32.9,27.6,83,6.1,9.2,4,100,1,N 
22-10-2018,23.9,32.0,28.5,79,0.1,9.9,5,60,1,N 
23-10-2018,24.8,32.7,27.3,80,0.0,10.6,5,60,2,N 
24-10-2018,23.8,33.1,28.1,78,0.8,9.6,5,290,2,N 
25-10-2018,24.4,31.8,27.5,83,0.0,8.7,3,360,1,N 
26-10-2018,24.8,32.7,28.1,80,0.0,3.4,5,60,1,N 
27-10-2018,25.0,32.1,27.7,82,0.0,3.4,5,40,2,N 
28-10-2018,24.8,31.1,26.9,87,0.0,6.3,4,180,1,N 
29-10-2018,24.4,32.2,28.5,81,1.8,1.1,6,40,1,N 
30-10-2018,25.2,32.9,28.5,81,0.0,6.3,7,50,2,N 
31-10-2018,25.4,30.7,27.3,82,0.0,6.7,6,40,2,N 
