Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2019,25.0,33.2,28.7,78,0.0,9.5,5,120,2,SE
02-09-2019,26.0,32.9,29.1,77,0.0,8.8,4,140,2,SE
03-09-2019,27.0,32.2,28.8,80,0.0,6.9,5,150,2,SE
04-09-2019,27.0,33.2,29.4,72,0.0,3.2,5,130,2,SE
05-09-2019,26.0,32.5,29.2,76,0.0,6.2,6,140,3,SE
06-09-2019,26.0,33.1,28.6,79,0.0,0.0,6,130,3,SE
07-09-2019,26.0,32.6,29.4,72,0.0,9.6,6,140,3,SE
08-09-2019,26.0,32.5,28.7,76,0.0,9.0,5,160,2,SE
09-09-2019,26.0,33.0,28.8,80,0.0,8.9,3,160,2,SE
10-09-2019,26.0,32.6,28.6,80,0.0,7.2,6,140,3,SE
11-09-2019,26.0,33.1,28.8,78,0.0,6.7,5,140,2,SE
12-09-2019,25.0,33.6,28.7,77,0.0,8.7,4,130,2,SE
13-09-2019,24.0,32.6,28.2,83,0.0,6.7,3,150,2,SE
14-09-2019,26.0,31.0,28.0,80,0.0,5.6,3,160,2,S 
15-09-2019,26.0,32.0,28.3,77,0.0,0.1,6,140,2,SE
16-09-2019,25.0,33.0,28.4,77,0.0,2.9,6,130,2,SE
17-09-2019,26.0,32.5,29.0,76,0.0,4.7,5,140,2,SE
18-09-2019,27.0,32.4,29.1,75,0.0,7.0,5,140,3,SE
19-09-2019,26.0,33.0,28.8,77,0.0,5.9,5,140,2,SE
20-09-2019,26.0,33.2,29.0,77,0.0,6.5,6,150,3,SE
21-09-2019,25.0,33.0,28.7,75,0.0,4.7,7,150,3,SE
22-09-2019,25.0,33.2,28.7,77,0.0,9.4,4,140,3,SE
23-09-2019,26.0,31.6,27.4,84,0.0,6.7,3,140,1,C 
24-09-2019,25.0,32.6,28.6,81,1.6,0.0,4,50,1,C 
25-09-2019,25.0,30.2,25.8,91,1.3,7.8,2,150,1,C 
26-09-2019,23.0,33.0,27.9,83,32.8,0.6,4,150,1,C 
27-09-2019,25.0,32.8,28.6,79,0.0,4.2,4,80,1,C 
28-09-2019,25.0,32.8,28.0,82,0.0,7.9,5,140,1,C 
29-09-2019,25.0,33.7,27.5,86,0.0,5.6,3,60,1,C 
30-09-2019,24.0,30.8,26.9,85,3.1,5.7,3,40,0,C 
