Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-08-2022,26.0,31.8,27.9,86,0.0,7.1,5,200,2,SE
02-08-2022,26.1,31.6,26.5,91,2.4,5.2,7,230,2,S 
03-08-2022,24.6,31.2,27.2,83,10.5,3.8,5,220,3,S 
04-08-2022,25.0,29.6,26.6,86,0.0,3.6,5,260,2,W 
05-08-2022,24.2,29.8,27.1,83,1.0,0.8,4,190,2,S 
06-08-2022,23.5,32.1,27.5,79,1.0,0.0,6,200,3,S 
07-08-2022,24.1,31.3,28.3,80,1.0,5.3,6,210,3,SE
08-08-2022,26.2,32.4,29.1,79,1.0,6.7,6,140,3,SE
09-08-2022,25.8,32.0,28.3,81,1.0,6.5,6,140,3,SE
10-08-2022,25.4,32.4,28.3,82,1.0,7.0,6,150,3,SE
11-08-2022,26.1,32.9,29.1,81,1.0,7.0,5,170,3,SE
12-08-2022,26.8,33.3,28.5,82,1.0,9.9,7,160,2,SE
13-08-2022,25.8,31.0,26.9,85,1.0,6.0,8,280,2,C 
14-08-2022,24.8,32.6,27.7,85,0.2,2.4,4,140,2,SE
15-08-2022,25.4,31.5,28.0,83,0.2,8.7,6,210,2,S 
16-08-2022,23.8,32.2,26.4,86,3.3,5.8,5,150,1,C 
17-08-2022,23.6,32.8,27.9,86,1.8,0.9,6,140,3,SE
18-08-2022,25.9,32.8,28.9,80,2.3,8.0,7,160,4,SE
19-08-2022,26.2,30.8,27.5,87,0.2,6.1,4,210,2,S 
20-08-2022,25.2,31.7,27.0,85,2.5,3.3,5,140,2,W 
21-08-2022,24.8,29.8,26.1,88,0.2,3.8,6,230,3,SW
22-08-2022,24.8,32.2,27.5,82,0.2,1.5,5,200,3,SE
23-08-2022,24.8,29.6,26.4,92,0.2,6.9,5,310,2,SW
24-08-2022,24.1,31.3,27.6,86,22.5,2.6,6,200,3,S 
25-08-2022,25.8,31.3,26.6,90,9.1,5.3,5,150,3,SE
26-08-2022,24.5,27.6,25.3,94,44.5,1.0,5,220,1,C 
27-08-2022,24.2,31.3,26.2,92,9.2,0.0,7,240,2,C 
28-08-2022,23.9,29.4,26.2,90,62.9,1.4,5,220,1,C 
29-08-2022,24.1,31.0,26.6,87,1.1,2.2,4,310,1,C 
30-08-2022,24.2,28.5,26.0,92,20.4,2.6,5,120,2,C 
31-08-2022,24.6,30.7,27.5,86,5.1,0.6,4,200,2,E 
