Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-04-2023,21.0,31.3,28.1,84,14.7,5.2,5,100,2,NE
02-04-2023,24.6,32.6,28.1,84,14.7,4.1,9,270,2,NE
03-04-2023,23.0,29.3,25.0,94,14.7,4.2,3,260,2,W 
04-04-2023,23.8,33.2,28.5,77,7.4,0.0,4,240,2,SE
05-04-2023,24.9,30.0,27.7,86,0.0,9.6,5,240,2,W 
06-04-2023,24.4,31.2,27.8,81,0.9,0.0,6,250,2,W 
07-04-2023,24.4,29.6,26.5,82,0.0,1.9,4,180,2,C 
08-04-2023,24.4,32.2,27.6,86,0.0,0.3,15,30,3,NE
09-04-2023,25.3,32.4,29.1,82,0.2,6.3,9,50,4,NE
10-04-2023,25.0,32.0,28.3,81,0.0,9.7,5,70,3,NE
11-04-2023,25.6,32.2,28.6,80,0.0,10.0,7,40,3,NE
12-04-2023,25.6,32.8,28.6,80,0.0,8.8,5,340,2,NE
13-04-2023,25.6,32.3,28.9,85,0.0,4.7,4,20,2,N 
14-04-2023,25.6,32.4,29.0,85,1.0,5.1,5,50,3,E 
15-04-2023,26.0,32.4,27.9,86,0.0,7.6,4,230,2,SW
16-04-2023,26.0,31.8,28.7,86,7.1,5.4,8,210,3,SW
17-04-2023,24.8,32.3,28.1,84,7.1,2.6,4,190,2,E 
18-04-2023,25.6,33.9,29.8,77,7.1,5.5,6,130,3,E 
19-04-2023,25.6,31.2,28.6,82,0.0,9.4,4,190,2,S 
20-04-2023,25.6,31.1,27.5,85,0.2,3.8,5,270,2,SW
21-04-2023,24.4,31.5,28.4,81,24.2,2.2,4,250,2,C 
22-04-2023,25.4,33.3,28.2,83,21.5,3.5,4,120,2,E 
23-04-2023,26.0,31.8,27.1,92,21.5,5.4,6,150,2,E 
24-04-2023,23.9,32.3,28.6,83,38.0,4.6,6,60,3,E 
25-04-2023,25.7,32.3,28.4,84,8.3,7.3,5,60,2,NE
26-04-2023,25.5,32.4,28.8,83,0.8,5.1,5,70,2,NE
27-04-2023,26.0,32.5,28.2,86,0.9,10.1,5,30,2,C 
28-04-2023,25.9,32.2,28.6,83,0.2,6.8,4,60,2,N 
29-04-2023,25.8,33.0,29.1,78,0.0,6.3,6,50,2,NE
30-04-2023,26.0,33.0,28.8,82,0.0,8.6,5,50,2,N 
