Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2014,24.0,29.2,26.9,84.0,0.0,2.8,7.0,30.0,4.0,N 
02-01-2014,23.6,30.7,27.1,84.0,0.0,0.0,10.0,40.0,5.0,NE
03-01-2014,25.1,29.4,26.4,88.0,0.0,0.0,8.0,40.0,3.0,NE
04-01-2014,24.8,30.6,27.0,82.0,0.0,0.0,8.0,50.0,3.0,N 
05-01-2014,22.4,27.6,24.8,93.0,6.3,0.7,5.0,350.0,3.0,N 
06-01-2014,23.2,27.5,25.1,93.0,0.0,0.0,4.0,70.0,2.0,N 
07-01-2014,23.2,29.4,26.5,83.0,0.0,0.0,5.0,30.0,3.0,N 
08-01-2014,23.2,31.8,27.3,77.0,0.0,0.0,5.0,350.0,4.0,N 
09-01-2014,23.6,28.4,25.3,90.0,0.0,3.6,4.0,90.0,2.0,N 
10-01-2014,23.6,30.4,26.4,85.0,0.0,2.1,4.0,50.0,2.0,NW
11-01-2014,24.4,30.4,26.2,86.0,0.0,0.8,9.0,50.0,4.0,N 
12-01-2014,24.4,29.2,26.1,87.0,0.0,4.6,7.0,40.0,4.0,NE
13-01-2014,23.5,30.2,27.2,77.0,0.0,0.6,9.0,40.0,5.0,NE
14-01-2014,24.8,29.8,26.3,76.0,0.0,4.2,7.0,10.0,5.0,NE
15-01-2014,24.8,28.8,26.1,74.0,0.0,3.2,7.0,40.0,6.0,NE
16-01-2014,24.6,28.8,26.3,71.0,0.0,0.2,10.0,20.0,6.0,NE
17-01-2014,24.4,29.8,26.2,72.0,0.0,1.8,8.0,40.0,5.0,NE
18-01-2014,24.5,29.4,26.4,70.0,0.0,3.3,10.0,30.0,5.0,N 
19-01-2014,24.3,30.0,26.3,71.0,0.0,1.0,8.0,30.0,4.0,N 
20-01-2014,24.3,29.0,26.0,70.0,0.0,3.6,8.0,30.0,5.0,N 
21-01-2014,24.3,29.0,25.7,72.0,0.0,1.8,8.0,10.0,5.0,N 
22-01-2014,24.0,28.6,25.8,68.0,0.0,1.4,9.0,360.0,5.0,N 
23-01-2014,24.0,29.8,26.1,69.0,0.0,2.5,10.0,360.0,6.0,NE
24-01-2014,24.0,29.2,25.9,72.0,0.0,3.4,8.0,30.0,5.0,N 
25-01-2014,24.4,29.4,26.0,74.0,0.0,3.4,9.0,40.0,6.0,NE
26-01-2014,23.0,29.0,25.5,73.0,0.0,3.4,9.0,50.0,5.0,NE
27-01-2014,23.7,29.6,26.2,72.0,0.0,3.8,11.0,40.0,6.0,NE
28-01-2014,24.6,29.8,26.6,74.0,0.0,4.2,11.0,50.0,6.0,NE
29-01-2014,24.6,29.8,26.6,72.0,0.0,5.8,10.0,40.0,6.0,NE
30-01-2014,22.9,29.9,25.9,75.0,0.0,6.2,9.0,50.0,5.0,NE
31-01-2014,22.9,29.8,26.2,72.0,0.0,5.8,9.0,40.0,6.0,NE
01-02-2014,21.4,31.1,25.8,70.0,0.0,6.9,7.0,40.0,4.0,N 
02-02-2014,23.0,29.2,25.4,76.0,0.0,6.6,10.0,50.0,4.0,NE
03-02-2014,22.4,29.7,25.7,71.0,0.0,3.2,8.0,60.0,5.0,NE
04-02-2014,23.1,29.7,25.7,75.0,0.0,5.3,11.0,60.0,6.0,NE
05-02-2014,22.9,29.7,26.1,74.0,0.0,5.4,9.0,50.0,5.0,NE
06-02-2014,23.0,30.0,25.7,79.0,0.0,5.9,12.0,50.0,5.0,N 
07-02-2014,23.0,30.0,26.3,76.0,0.0,6.2,8.0,50.0,5.0,NE
08-02-2014,23.5,30.1,26.4,82.0,0.0,2.7,8.0,60.0,5.0,NE
09-02-2014,24.1,30.8,26.5,79.0,0.0,3.4,7.0,60.0,4.0,NE
10-02-2014,24.6,30.6,26.8,82.0,0.0,3.4,5.0,60.0,4.0,NE
11-02-2014,24.8,31.2,27.3,79.0,0.0,5.4,10.0,50.0,5.0,NE
12-02-2014,24.6,31.2,27.3,78.0,0.0,3.3,13.0,50.0,6.0,NE
13-02-2014,25.2,32.0,27.7,82.0,0.0,4.0,9.0,50.0,5.0,NE
14-02-2014,24.4,31.2,27.8,78.0,0.0,3.9,12.0,50.0,6.0,NE
15-02-2014,25.2,31.2,27.5,78.0,0.0,5.9,10.0,40.0,6.0,NE
16-02-2014,25.2,30.6,27.4,77.0,0.0,5.0,10.0,60.0,6.0,NE
17-02-2014,25.4,31.0,27.7,76.0,0.0,4.9,9.0,50.0,6.0,NE
18-02-2014,25.7,30.8,27.4,78.0,0.0,3.6,9.0,50.0,5.0,NE
19-02-2014,25.0,30.8,27.1,79.0,0.0,3.8,9.0,60.0,6.0,NE
20-02-2014,25.0,31.1,27.7,73.0,0.0,4.8,10.0,50.0,6.0,NE
21-02-2014,24.8,30.6,27.9,73.0,0.0,5.9,11.0,50.0,7.0,NE
22-02-2014,25.7,31.9,28.0,71.0,0.0,5.0,11.0,30.0,6.0,NE
23-02-2014,25.0,30.8,26.9,76.0,0.0,6.6,12.0,30.0,6.0,NE
24-02-2014,25.0,30.8,26.9,68.0,0.0,5.8,10.0,50.0,6.0,NE
25-02-2014,24.5,30.8,26.8,71.0,0.0,5.8,11.0,50.0,6.0,NE
26-02-2014,24.8,30.8,25.3,84.0,0.0,5.5,5.0,30.0,3.0,NE
27-02-2014,24.6,31.6,27.5,76.0,0.0,5.8,12.0,30.0,6.0,NE
28-02-2014,25.0,30.8,27.3,72.0,0.0,6.1,10.0,30.0,6.0,NE
01-03-2014,25.4,30.8,27.3,76.0,0.0,6.6,10.0,60.0,6.0,NE
02-03-2014,24.8,31.2,27.2,76.0,0.0,6.2,9.0,50.0,5.0,NE
03-03-2014,24.2,30.6,26.8,81.0,0.0,5.8,10.0,50.0,5.0,NE
04-03-2014,24.8,30.6,27.2,76.0,0.0,4.6,11.0,40.0,7.0,NE
05-03-2014,24.2,31.3,26.8,74.0,0.0,5.0,10.0,60.0,5.0,NE
06-03-2014,24.1,30.8,26.4,75.0,0.0,4.9,9.0,50.0,5.0,NE
07-03-2014,24.1,31.4,27.0,78.0,0.0,6.1,9.0,50.0,5.0,NE
08-03-2014,24.0,31.0,27.4,78.0,0.0,6.0,9.0,50.0,5.0,NE
09-03-2014,25.4,30.8,27.4,72.0,0.0,5.8,11.0,50.0,6.0,NE
10-03-2014,25.4,31.0,27.8,69.0,0.0,6.8,11.0,40.0,6.0,NE
