Date,Tavg,RH_avg,RR,ss,ff_avg
01/01/2019,28.2,76,118,5.4,2
02/01/2019,28.1,76,4,9.9,3
03/01/2019,29.2,77,0,,3
04/01/2019,28.8,77,4.3,8.8,1
05/01/2019,27.8,87,0,1.8,3
06/01/2019,28.5,78,0,6.4,4
07/01/2019,29.1,75,0,8.8,4
08/01/2019,28.5,78,4.2,10.7,3
09/01/2019,28.4,80,3.5,4.4,3
10/01/2019,28.6,74,0,8.5,3
11/01/2019,27.1,84,8,10,3
12/01/2019,28,78,4.3,4.4,3
13/01/2019,27.9,80,0,10.6,3
14/01/2019,27.1,85,0,7.6,2
15/01/2019,27.8,78,0.1,5.7,1
16/01/2019,27.8,79,0,5.1,2
17/01/2019,26.6,87,0,5.2,2
18/01/2019,25.7,90,37.9,4.7,2
19/01/2019,27.5,78,4,0,2
20/01/2019,27.7,80,0,2.1,2
21/01/2019,27.9,78,0,8.5,3
22/01/2019,27.2,78,0,3.7,3
23/01/2019,28,77,0,2.7,5
24/01/2019,28.1,73,0,9.1,3
25/01/2019,27.4,76,0,6.8,3
26/01/2019,27.3,74,0,6.8,3
27/01/2019,28.2,74,8888,5.9,4
28/01/2019,26.5,90,1.5,6.3,3
29/01/2019,27.8,81,2.8,0,3
30/01/2019,28.1,76,,8.1,2
31/01/2019,27.3,81,0,5.5,3
01/02/2019,28.3,77,0,5.2,4
02/02/2019,28.4,77,0,10.7,4
03/02/2019,27.9,84,2.2,9.9,2
04/02/2019,28.1,81,0,7.8,2
05/02/2019,27.5,81,0,9,2
06/02/2019,26.7,82,0,9.7,3
07/02/2019,27.8,76,0,10.8,3
08/02/2019,28.3,78,0,9.7,2
09/02/2019,28.4,80,0,7.7,2
10/02/2019,28.4,78,0,10.4,4
11/02/2019,27.6,72,0,10.5,2
12/02/2019,27.8,77,0,10.6,3
13/02/2019,28.5,78,0,10.2,4
14/02/2019,28.5,76,0,10.3,3
15/02/2019,28.3,74,0,10,3
16/02/2019,28.2,76,0,6.6,3
17/02/2019,28.3,77,0,7.7,2
18/02/2019,26.1,83,14.1,6.8,2
19/02/2019,27.5,84,0,6.4,3
20/02/2019,28.2,80,0,8.3,2
21/02/2019,28.6,75,0,9,3
22/02/2019,28.3,78,0,9.5,3
23/02/2019,28.2,73,0,10.6,3
24/02/2019,27.6,76,0,10.5,3
25/02/2019,28.4,78,0,6.1,4
26/02/2019,28.9,76,8888,10.9,4
27/02/2019,27.9,79,3.4,7.8,4
28/02/2019,28.7,74,0.5,6.2,3
01/03/2019,28.6,74,0,5.1,4
02/03/2019,28.4,68,0,9.5,3
03/03/2019,27.1,76,0,9.2,2
04/03/2019,27.6,76,0,9.5,2
05/03/2019,27.9,77,,7.9,2
06/03/2019,28.6,80,0,9.5,2
07/03/2019,28.8,80,0,0.8,2
08/03/2019,29.3,73,0,8.8,2
09/03/2019,28.3,81,0,7.8,2
10/03/2019,28.2,80,,9.9,1
11/03/2019,28.4,77,0,7.3,1
12/03/2019,28,78,8888,3.7,1
13/03/2019,28.8,80,8888,5.9,2
14/03/2019,28.5,73,0,9.9,2
15/03/2019,28.1,71,,8.9,2
16/03/2019,27.6,72,0,10.4,3
17/03/2019,28.7,72,0,10.2,2
18/03/2019,28.4,70,0,7.4,2
19/03/2019,29,68,0,10.6,3
20/03/2019,29.2,70,,9.9,3
21/03/2019,29.3,71,0,8.8,2
22/03/2019,28.4,78,9.2,7.2,1
23/03/2019,28.3,82,0,10.1,2
24/03/2019,28.8,78,0,9.3,2
25/03/2019,29,76,,7.4,3
26/03/2019,29.8,73,0,8.6,4
27/03/2019,29.6,74,0,8.3,3
28/03/2019,29.4,73,0,9.9,1
29/03/2019,29.5,76,0,3.7,1
30/03/2019,25.2,92,4.5,9.1,0
31/03/2019,28.3,85,0.2,0,1
01/04/2019,27,88,5.6,2.4,1
02/04/2019,28.3,82,8888,3.2,1
03/04/2019,26.3,85,9,1.4,1
04/04/2019,28.4,82,0.2,2.2,2
05/04/2019,28.8,74,0,8.8,2
06/04/2019,28.2,73,0,9,2
07/04/2019,28.3,75,0,10.7,3
08/04/2019,28.6,78,0,10.7,3
09/04/2019,29.6,75,,8.4,2
10/04/2019,28.9,81,0,8.5,1
11/04/2019,27,92,2.3,4.6,0
12/04/2019,27.4,86,9.3,0,0
13/04/2019,28.4,81,2.6,2.2,1
14/04/2019,28,88,,5.8,1
15/04/2019,28,83,4.6,0,1
16/04/2019,29.5,76,0,7.9,1
17/04/2019,29,79,0,10.9,2
18/04/2019,29.6,78,0,10.5,1
19/04/2019,29.3,80,0,10.7,1
20/04/2019,27.8,88,0,8.7,1
21/04/2019,29.3,79,1.4,1.2,1
22/04/2019,27.7,88,0.4,8.2,1
23/04/2019,28.1,86,3.7,5.2,1
24/04/2019,28,89,1.1,3.8,0
25/04/2019,27.6,91,1.4,1.5,0
26/04/2019,25.8,94,12.7,4.4,1
27/04/2019,27.3,87,5.7,0.1,2
