Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2011,25,31.1,27,85,8888,6.7,10,45,6,NE
02-01-2011,25,31.1,27.5,84,0,5.8,10,45,5,NE
03-01-2011,24,30.2,26.2,87,1.6,2.2,8,360,2,NE
04-01-2011,25,30.7,27.2,83,0,5.4,6,360,3,NE
05-01-2011,25,31.2,26.5,86,24.8,6.7,7,360,3,NE
06-01-2011,23,28.2,25.3,93,14.3,0,5,360,2,N 
07-01-2011,24,27.3,25.3,90,0.1,0,4,360,2,N 
08-01-2011,24,29.4,25.8,87,1.9,2.9,9,360,4,NE
09-01-2011,24,30.2,26.7,84,19.2,1.9,7,360,4,NE
10-01-2011,23,26.4,24.6,94,24.7,0,7,315,2,W 
11-01-2011,23,26.6,24.9,90,0.1,0,3,270,1,W 
12-01-2011,24,30.1,26.1,86,31.8,3.3,6,360,2,NE
13-01-2011,24,30.2,26.5,82,0,4,7,360,3,NE
14-01-2011,24,29.1,25.6,89,2.8,2,7,360,2,NE
15-01-2011,24,29.3,26,87,0,0.8,7,45,5,NE
16-01-2011,25,29.6,26.8,77,0,3.2,8,45,5,NE
17-01-2011,23,29.8,25.5,84,18.9,2.4,8,45,3,NE
18-01-2011,24,29.4,26.6,76,0,5.8,9,45,5,NE
19-01-2011,24,29.8,26.8,73,0,7.9,9,45,5,NE
20-01-2011,24,29.9,26.1,78,0,8,9,45,5,NE
21-01-2011,24,30.2,26.5,76,8888,4.8,9,45,5,E 
22-01-2011,25,30.5,26.8,78,0,7.5,9,45,5,NE
23-01-2011,25,32,27,80,0,7.3,9,45,5,NE
24-01-2011,25,31.2,27.2,80,0,7.4,10,45,5,NE
25-01-2011,24,30.3,26.6,84,15.7,7.1,8,45,5,NE
26-01-2011,24,29.1,26.4,88,36.7,1.2,9,45,5,NE
27-01-2011,24,28.5,25.9,88,0.1,6.6,10,45,6,NE
28-01-2011,25,29.3,26.9,83,0.4,1.6,12,45,6,NE
29-01-2011,24,28.6,26.6,85,44.2,0,8,45,4,NE
30-01-2011,23,25,24,95,279.5,0,7,360,2,N 
31-01-2011,23,24.6,23.7,96,137.2,0,7,360,2,W 
