Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-03-2011,24,29.1,26.6,80,0,0,5,45,3,E 
02-03-2011,24,30.5,26.8,83,0,3.7,7,45,4,NE
03-03-2011,25,31,27.6,77,0,6.8,9,45,5,NE
04-03-2011,24,31.6,27,82,8888,4.9,8,45,3,NE
05-03-2011,25,31.7,27.2,80,0,8,9,360,4,N 
06-03-2011,24,31.7,27.2,84,1.4,4.5,5,360,2,N 
07-03-2011,23,34.1,27.8,79,4.7,8,4,270,2,N 
08-03-2011,24,30,26.5,81,0,2.9,5,315,2,NW
09-03-2011,25,31.2,26.6,84,8888,4.1,8,45,3,NE
10-03-2011,23,27.4,25.5,90,15.6,0.1,5,45,1,NE
11-03-2011,23,27.8,25,88,0,0,4,360,1,N 
12-03-2011,24,30.5,26.3,82,0.1,5.3,8,45,4,E 
13-03-2011,24,31.2,26.8,79,8888,5.8,8,45,3,NE
14-03-2011,25,30.7,26,90,0.3,1.1,5,45,2,NE
15-03-2011,25,30.7,25.9,90,0.3,0.2,4,90,0,E 
16-03-2011,22,31.2,27.1,82,4.2,6.4,6,45,3,NE
17-03-2011,23,28.1,24.3,91,3.1,0,4,360,0,NE
18-03-2011,24,30.6,27,87,0,4.2,8,45,3,NE
19-03-2011,24,31,26.7,86,1,6.9,8,45,2,NE
20-03-2011,24,29.5,25.7,90,30.8,2,3,360,0,SW
21-03-2011,23,31,27.3,83,22.8,1.9,9,360,3,NE
22-03-2011,23,27.8,25.2,92,5.3,0,4,270,1,NW
23-03-2011,25,32.6,27.5,84,0,7.6,5,360,2,E 
24-03-2011,24,32,28.1,77,0,5.2,4,270,1,W 
25-03-2011,25,32.3,27.7,78,0,6.7,5,270,2,W 
26-03-2011,25,31.1,28.2,76,0,0.9,4,270,2,W 
27-03-2011,25,31.9,27.3,84,0.3,4.1,5,45,3,NE
28-03-2011,26,31.4,27.4,82,0,6.6,8,45,3,NE
29-03-2011,24,32.6,27.9,82,1.2,6.8,5,45,2,NE
30-03-2011,25,33.1,28.6,72,0,7.4,9,360,3,W 
31-03-2011,25,32.8,28.1,80,0,6.7,5,360,2,NE
