Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-10-2014,24.6,32.6,28.7,81,0,3.4,5,140,4,SE
02-10-2014,24.4,32,27.7,81,0,3.4,5,140,3,SE
03-10-2014,24.2,32.4,28.2,82,0,2.1,7,100,4,SE
04-10-2014,25.4,30.8,26.6,87,5.6,5.6,8,290,3,W 
05-10-2014,24.2,30.8,27,82,0,0.6,7,170,3,W 
06-10-2014,24.2,32,27.8,79,0,1.2,6,190,3,S 
07-10-2014,25.2,32,28.6,76,0,2.2,8,140,5,SE
08-10-2014,24,32.6,28.3,78,0,4.7,7,180,4,S 
09-10-2014,25.5,32,27.7,81,0,3.8,4,120,3,SE
10-10-2014,25.4,32.6,29,74,0,2.1,5,160,4,SE
11-10-2014,26,32.4,27.6,81,2.4,4.9,6,120,4,SE
12-10-2014,24.5,32.2,27.9,78,0,1.7,5,70,3,N 
13-10-2014,25.6,33,28.8,76,0,0,5,50,3,NE
14-10-2014,24.9,31,27.9,84,8888,3.9,4,90,2,E 
15-10-2014,24,32.4,27.5,79,0,1.8,5,50,3,E 
16-10-2014,25,32.4,27.9,79,0,2.3,7,110,3,SE
17-10-2014,24.2,32.6,28.2,83,0,2.8,5,110,3,SE
18-10-2014,24.8,32.2,28.1,79,0.4,3.5,10,200,3,W 
19-10-2014,24,32.8,28,81,0.2,2.6,6,180,4,SE
20-10-2014,24.4,33.2,28.1,80,0,4.6,5,70,4,E 
21-10-2014,25.2,30,27.3,85,2.5,4.2,6,60,2,N 
22-10-2014,24.4,27.5,25.8,90,7.8,1,3,60,3,SE
23-10-2014,23.9,31.6,27.7,85,8888,0,4,50,2,SW
24-10-2014,24.3,33.6,28,75,0,2.5,5,160,4,SE
25-10-2014,24.2,33.4,28.3,75,0,5.8,5,120,3,E 
26-10-2014,25,32.2,28.3,81,8888,5.8,8,60,4,E 
27-10-2014,25.3,32.2,27.8,81,1,3.8,6,120,4,SE
28-10-2014,24.2,33.2,28.8,76,0,4.2,4,300,3,NW
29-10-2014,24.2,34.1,28.7,80,0,4.5,7,80,3,E 
30-10-2014,25.4,33.2,28.9,79,8888,4.9,6,40,3,E 
31-10-2014,24.6,33.4,28.2,79,0,3.4,5,80,3,N 
