Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
01-09-2014;25,5;32,2;28,1;77;0;3,8;8;120;5;SE
02-09-2014;24,3;32,8;28,3;80;0;7;7;110;3;SE
03-09-2014;25,8;31,6;25,9;90;13,1;6,4;7;70;3;SE
04-09-2014;23;32;27,2;82;0,4;1,4;5;120;3;SE
05-09-2014;23,6;31,2;27,5;81;0;4,4;8;260;4;W 
06-09-2014;25,6;30,9;27,4;75;0;3,7;7;200;4;S 
07-09-2014;24,6;31,6;27,9;79;0;1;4;150;3;SE
08-09-2014;24,3;31,9;28,1;85;0;1,9;9;120;4;SE
09-09-2014;25,5;32;29;72;0;4,1;8;150;4;SE
10-09-2014;25,4;32,4;28,3;82;3,8;4,5;6;190;4;SE
11-09-2014;25;31,2;27,8;81;0;5,1;9;150;5;SE
12-09-2014;24,7;32;28,1;81;6,3;1,4;8;150;4;S 
13-09-2014;23,7;32,4;28,3;82;0;3,8;9;170;5;S 
14-09-2014;24,6;32,1;27,9;80;0;2,8;7;190;4;S 
15-09-2014;24,8;32,8;28,5;75;0;2,6;8;200;5;S 
16-09-2014;25,4;32,5;29,3;66;0;5;10;130;5;SE
17-09-2014;26,8;31,2;28,9;78;26,4;4,1;8;130;5;SE
18-09-2014;23,8;32;28,2;85;21,3;2;15;120;4;SE
19-09-2014;22,8;32,2;28,1;86;0;1,4;9;60;4;SE
20-09-2014;25,6;32,5;26,8;87;17,2;5;8;80;3;SE
21-09-2014;22,2;31,3;27,5;82;0;3,2;7;200;5;SW
22-09-2014;23,6;32,6;27,6;78;0;5,3;7;130;6;SE
23-09-2014;24,3;32;28,1;79;0;6,6;7;130;5;SE
24-09-2014;24,8;32,4;28,1;82;11;6,3;8;140;4;SE
25-09-2014;24;29,3;26,1;86;60,5;6,3;6;150;3;SE
26-09-2014;22,7;31,4;27,6;83;0;0,8;5;90;3;E 
27-09-2014;24,2;31,8;27,8;84;0;3,9;6;120;3;SE
28-09-2014;24,8;32;27,8;82;0;5,7;6;120;3;SE
29-09-2014;25;32,6;28,5;80;0;4,2;7;130;4;E 
30-09-2014;24,8;32,4;28,4;81;2,3;5,2;7;120;4;SE
