Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-12-2015,25.7,31.6,27.2,86,0,7.6,6,50,2,N 
02-12-2015,25.4,31.4,27.7,85,0,3.4,5,20,2,N 
03-12-2015,25.2,32.3,28.6,80,8888,0.8,9,60,3,N 
04-12-2015,25.4,31.4,28.3,82,0,8.4,5,30,2,N 
05-12-2015,31.4,32.4,28.6,82,0,2.6,8,40,2,N 
06-12-2015,26.1,31.6,27.8,84,0,8.2,9,130,3,N 
07-12-2015,25,30.6,27.9,84,12.6,7,8,50,3,N 
08-12-2015,25,31.7,27.5,87,5.5,2,6,30,2,N 
09-12-2015,25.2,30.7,27.8,86,6.8,2.3,5,50,2,N 
10-12-2015,25.4,32.5,28,83,8888,2.2,7,50,2,N 
11-12-2015,25.4,30.3,27.3,85,0,7.8,5,320,1,N 
12-12-2015,25,31.8,27.3,85,2.3,4.8,6,50,3,N 
13-12-2015,24.8,28.2,25.5,94,20.7,6.6,5,160,1,N 
14-12-2015,24.2,30.7,27.5,83,50.6,1,5,40,2,N 
15-12-2015,24.8,28.9,27.4,83,0,1.2,4,50,2,NW
16-12-2015,26.5,30.4,27.9,80,8888,0,4,300,2,NW
17-12-2015,26,30.4,28.2,79,0,,9,30,4,N 
18-12-2015,26,30.4,27.8,78,8888,0,9,360,5,N 
19-12-2015,26.2,32.5,28.6,73,5.1,0,7,10,4,N 
20-12-2015,26,32.6,28.6,74,0,8.8,6,330,3,NW
21-12-2015,26.2,32.9,28.5,77,0,7.6,4,320,2,N 
22-12-2015,25,32.2,28.3,81,0,8.2,4,280,2,N 
23-12-2015,23.8,33,29,76,3.8,6.6,7,260,3,W 
24-12-2015,24.2,30.3,26.5,88,0,9.8,4,20,1,N 
25-12-2015,24.8,31.8,28.8,77,1.1,0.4,10,40,6,NE
26-12-2015,25.9,31.9,28.5,76,8888,10.1,11,50,5,NE
27-12-2015,25.6,31.7,28.9,77,0,10.4,9,10,5,N 
28-12-2015,26,32,28.9,80,0,10.1,9,20,6,NE
29-12-2015,26.2,30.7,27.7,82,4.3,6.4,9,60,6,N 
30-12-2015,25.2,32.4,27.4,81,32.7,0,9,30,4,N 
31-12-2015,24.2,32.4,26.7,90,24.1,9.3,8,50,4,N 
