Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
01-02-2015;;;;;;;;;;
02-02-2015;24,6;28,4;25,6;84;0;0,5;9;40;3;N 
03-02-2015;24,2;28,6;25,1;86;0;0;7;20;3;N 
04-02-2015;22,5;28,6;24,9;89;0,9;0;8;10;5;N 
05-02-2015;24,2;29,6;26,4;81;8888;0;9;30;6;NE
06-02-2015;24,4;29;26,2;81;2,4;0,3;12;30;6;NE
07-02-2015;24,2;29,9;26,3;81;2,4;0,2;11;10;6;NE
08-02-2015;24,2;30;26,5;80;0;0,2;10;40;7;NE
09-02-2015;24,3;30,2;26,9;74;0;0,7;10;40;7;NE
10-02-2015;25,1;30,2;26,8;68;0;0,6;10;30;6;NE
11-02-2015;23,7;30;26,4;71;0;0,5;12;30;6;N 
12-02-2015;23,8;30,1;26;75;0;0,7;10;50;6;NE
13-02-2015;23,6;30,8;26,5;72;0;0,6;10;50;6;NE
14-02-2015;24,4;31;26,6;73;0;0,5;9;50;6;NE
15-02-2015;23,6;30,6;27;77;0;0,6;8;60;5;NE
16-02-2015;24,7;30,7;27,1;79;0;0,7;9;60;6;NE
17-02-2015;25;31,4;27,2;76;0;0,7;9;40;6;NE
18-02-2015;25;31,2;27,4;79;9,4;0,8;10;50;5;NE
19-02-2015;22,4;30,3;25,7;84;0;0,4;8;40;4;N 
20-02-2015;23;30,2;27;78;0;0,2;8;60;5;NE
21-02-2015;25,4;30,2;27,1;77;0;0,4;7;50;5;NE
22-02-2015;25;30,4;27,1;78;0;0,7;9;50;5;NE
23-02-2015;25,4;30,8;27,3;77;0;0,7;10;60;5;N 
24-02-2015;25,2;29,8;26,9;80;0;0,7;8;30;5;NE
25-02-2015;22,8;30,6;26,1;83;0;0,3;9;60;5;NE
26-02-2015;23;30,4;27,4;77;0;0,7;8;50;5;NE
27-02-2015;25,8;31;27,9;74;0;0,6;9;60;6;NE
28-02-2015;25,6;31,6;27,8;77;0;0,8;9;50;5;N 
