Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
01-06-2015;24,7;32,7;28,9;74;0;6,6;5;110;3;E 
02-06-2015;26,6;33,1;28,9;74;0;9,6;5;80;2;N 
03-06-2015;26;32,4;28,9;74;1,5;8,6;5;140;2;SE
04-06-2015;25,7;33,2;28,9;74;;6,6;7;120;2;E 
05-06-2015;25,3;33;28,9;74;0;8,3;5;120;1;N 
06-06-2015;25,4;32,2;28,9;74;2;7;6;200;1;N 
07-06-2015;25,1;31,4;28,9;74;8888;3,6;4;190;2;S 
08-06-2015;25;32;28,9;74;8888;3,6;5;200;2;N 
09-06-2015;;29,4;27,1;85;0;5,4;8;190;2;C 
10-06-2015;25,2;31,3;27,3;87;0,3;2,6;8;360;2;C 
11-06-2015;24,7;31,4;27,4;86;30,6;6;6;160;2;C 
12-06-2015;25,1;30,6;25,8;95;4,6;3,7;4;260;1;N 
13-06-2015;24,5;31,6;28,9;74;30,2;1,3;5;200;1;N 
14-06-2015;25,4;28,5;28,9;74;1,1;3,3;6;210;3;W 
15-06-2015;24,7;30,6;27,2;87;0,6;0;8;230;2;C 
16-06-2015;25;30;28,9;74;7,1;;5;200;1;N 
17-06-2015;24,7;30;28,9;74;8888;0,5;5;150;1;N 
18-06-2015;24,8;32,4;28,9;74;8888;2,5;6;140;3;SE
19-06-2015;;31,8;28,7;79;0;7,5;7;180;4;S 
20-06-2015;26,6;32,2;28,9;74;0;0,4;7;170;4;S 
21-06-2015;26,6;33,2;28,9;74;;8,5;7;170;4;SE
22-06-2015;27,2;32,3;29,6;78;;7,5;6;150;4;SE
23-06-2015;26,8;33,2;29,6;77;0;7,2;6;130;4;SE
24-06-2015;27,4;32,3;29,6;74;0;9,3;6;150;4;SE
25-06-2015;27,5;;29,5;73;0;8,1;8;160;5;SE
26-06-2015;27,2;32,4;29,4;73;0;9,2;8;150;5;SE
27-06-2015;27,2;33,4;28,9;74;;8,2;7;150;4;SE
28-06-2015;27,4;33;28;83;8888;9;6;150;2;N 
29-06-2015;24,8;32,6;29,2;78;1,4;6,4;8;140;4;SE
30-06-2015;25,4;33;29,1;79;0;;7;120;3;SE
