Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
01-05-2015;24,2;32,6;28,9;74;2;4,3;6;50;2;N 
02-05-2015;26,2;29,8;28,9;74;;5;5;260;2;W 
03-05-2015;24,5;28,5;28,9;74;0,3;0;3;200;1;N 
04-05-2015;24,8;31,2;27,3;88;0,4;0;6;160;2;N 
05-05-2015;;31,9;28,7;81;6;2,3;6;140;2;N 
06-05-2015;25,2;32,5;28,6;82;;7;5;310;1;N 
07-05-2015;24,8;32,9;28,2;85;6,8;5,7;4;110;2;E 
08-05-2015;25,4;31,8;28,1;83;8888;4,7;6;190;3;S 
09-05-2015;25,4;32,9;29,4;77;1,2;4,5;7;190;3;S 
10-05-2015;26,3;32,4;28,9;74;0;11,2;12;170;3;N 
11-05-2015;25,4;33,2;28,9;74;5,3;6,4;7;160;3;SE
12-05-2015;26,4;32,8;28,9;74;0;10,6;7;120;2;N 
13-05-2015;25,4;;28,9;74;0;4,1;5;70;2;E 
14-05-2015;26,2;32,8;28,9;74;0;5,5;6;80;2;N 
15-05-2015;25,4;29,4;28,9;74;;4,8;6;210;1;N 
16-05-2015;24,4;30,8;28,9;74;60,1;1,4;4;250;1;N 
17-05-2015;25;31,8;28,2;85;9;3,1;25;120;3;C 
18-05-2015;25,6;31,4;27,8;87;4;7;6;130;1;C 
19-05-2015;25,8;33,5;28,9;74;3,5;5,8;6;200;2;N 
20-05-2015;26,4;32,4;28,1;86;3;5,2;8;180;2;C 
21-05-2015;25,8;32,6;28,9;74;2,4;6,4;6;140;2;N 
22-05-2015;26;31;28,9;74;0;6,1;8;200;2;S 
23-05-2015;;28,2;28,9;74;15,9;;3;180;0;N 
24-05-2015;23,5;31,6;28,2;84;;;7;150;2;C 
25-05-2015;24,8;32,4;28,9;74;0;5,8;5;150;2;N 
26-05-2015;25,1;32,4;28,1;84;0;6,1;8;120;3;C 
27-05-2015;25,3;32;27,6;87;1,1;7,1;8;190;3;S 
28-05-2015;25;;28,9;74;1,3;4,9;6;130;3;SE
29-05-2015;25,9;32,7;28,9;74;0;8,8;7;150;4;SE
30-05-2015;25,9;33,8;28,9;74;;10,7;7;130;3;SE
31-05-2015;;33,4;28,9;74;0;8;6;150;2;N 
