Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-11-2016,23.4,30.2,27.6,86,30.6,3.8,7,290,1,N 
02-11-2016,23.7,30.2,27.1,84,7.8,,4,180,2,C 
03-11-2016,23.8,31,26.9,87,13.7,0,5,290,2,C 
04-11-2016,24,31.4,27.8,82,7.4,2.8,8,280,2,W 
05-11-2016,24,28,25.6,94,20.6,5.9,5,280,2,SW
06-11-2016,24.5,31.8,28,82,10,0,5,300,2,W 
07-11-2016,24.9,,25.4,94,0,4.7,6,290,1,N 
08-11-2016,23.8,32,28.5,80,6.5,1.2,3,40,2,E 
09-11-2016,23.9,30,26,92,1.5,9.8,8,300,2,N 
10-11-2016,24,31.5,27.6,85,64.3,2.8,4,300,1,N 
11-11-2016,24.9,29.6,26.9,86,8888,5.5,3,350,1,N 
12-11-2016,24.6,31,27.9,82,0,2.1,6,60,2,N 
13-11-2016,,29.9,27.7,85,0,,4,80,2,N 
14-11-2016,25.2,28.1,24.4,96,8888,1.9,6,230,2,N 
15-11-2016,,31.2,27.6,84,59.6,0,6,80,3,N 
16-11-2016,23.2,30.4,26.7,87,1.8,6,4,220,1,N 
17-11-2016,23.8,,27.8,82,8888,3.1,5,40,1,N 
18-11-2016,,32,27.9,84,0,7.2,6,40,1,N 
19-11-2016,25.6,31.9,26.5,91,0,5.1,5,190,1,N 
20-11-2016,24.6,31.2,26.8,90,55.9,,5,300,2,W 
21-11-2016,,30.2,27.2,87,104.2,3.4,5,270,2,W 
22-11-2016,23.5,28.6,26,93,24.9,1.7,5,250,2,N 
23-11-2016,23.6,30.6,27.2,88,22.2,,5,180,2,N 
24-11-2016,24.2,31.6,27.4,84,8888,4.6,5,40,2,N 
25-11-2016,24.6,32.2,28,83,0,6.6,6,50,2,N 
26-11-2016,,31.4,28.2,84,20,8.1,6,30,2,N 
27-11-2016,24.2,29.6,27.1,87,9.8,5.5,4,10,2,N 
28-11-2016,,29.3,27.5,84,8888,,5,350,2,NW
29-11-2016,26,27.4,26.2,88,1.3,,3,320,2,N 
30-11-2016,24.6,31.2,28.2,79,2.6,0,5,360,3,N 
