Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2018,,30,26.7,87,1,6.2,4,150,1,N 
02-05-2018,24.4,33.4,28.7,78,8888,,5,50,2,N 
03-05-2018,24.8,32.8,28.7,79,0,8.3,5,60,2,N 
04-05-2018,24.8,33.2,29.2,76,,8.1,6,200,1,N 
05-05-2018,25.7,32.2,28.4,82,0,9.8,5,170,1,N 
06-05-2018,25.6,33.2,29.3,77,0,7.2,7,110,2,N 
07-05-2018,25,33.3,29.2,77,0,10.6,5,150,2,SE
08-05-2018,25,33.6,29.9,73,0,9.8,7,150,4,E 
09-05-2018,26.7,33.5,28.9,80,0,11.1,6,40,2,E 
10-05-2018,25,31.5,28.5,81,17.4,8.8,6,140,2,N 
11-05-2018,,32.6,29,77,0,3.5,4,90,1,N 
12-05-2018,25.2,32.7,28.8,80,0,8.5,5,100,1,N 
13-05-2018,25.4,32.1,27.5,85,8888,7.6,5,190,1,N 
14-05-2018,24.6,32.5,27.3,87,2.1,2.5,4,220,1,N 
15-05-2018,,33.3,28.2,83,1.9,1.7,5,90,1,N 
16-05-2018,25.2,33.4,27.5,84,1.2,6,4,200,1,N 
17-05-2018,25,32.8,28.1,84,8888,5.1,3,200,1,N 
18-05-2018,25.2,32.2,27.7,84,8888,3.3,3,180,1,N 
19-05-2018,25.4,30.7,27.4,87,1.3,4.1,3,250,0,N 
20-05-2018,25.2,30.8,26.1,92,8.3,3.5,3,150,0,N 
21-05-2018,,32,27.8,85,4.2,0.2,3,300,0,N 
22-05-2018,24.8,31.7,27.3,87,0,1.9,4,210,1,N 
23-05-2018,24.6,31,26.3,91,8888,3.5,8,20,2,N 
24-05-2018,23.6,31.8,27.9,79,34.5,1.8,5,30,2,N 
25-05-2018,24.2,32.4,28.5,80,0.2,9.7,6,40,1,N 
26-05-2018,25.4,31.6,27,88,0,7.1,4,130,1,N 
27-05-2018,25.2,31.8,27.8,83,0.8,1.3,5,270,2,N 
28-05-2018,25.5,29.7,27.1,88,0.6,5.3,4,220,1,N 
29-05-2018,24.8,32.3,27.3,86,8.6,1.4,5,260,1,N 
30-05-2018,23.9,32.2,26.9,87,22.6,3.8,4,70,1,N 
31-05-2018,24.8,29,26.5,91,2.2,0.1,9,210,1,N 
