Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-08-2020,23.4,30.8,28.3,81,29.4,5.6,7,130,3,S 
02-08-2020,23.4,34.5,28.3,80,6.4,3.9,5,160,4,S 
03-08-2020,24.9,32.1,28,81,,8.6,5,140,3,SE
04-08-2020,24.9,29.8,27.3,87,0,5.3,5,240,2,C 
05-08-2020,23.3,32,28.2,82,8.3,0.8,5,200,3,S 
06-08-2020,25.5,31.7,28.4,84,0,6,4,190,2,S 
07-08-2020,25.8,34.8,28.4,84,0,0.9,6,130,3,SE
08-08-2020,25.8,32.6,29.5,76,,9,5,140,3,SE
09-08-2020,26.4,32.7,29.6,80,0,10.3,6,150,3,SE
10-08-2020,26.6,32.7,29.6,80,0,7.7,6,130,4,SE
11-08-2020,26.8,34.3,29.7,79,,10.6,6,160,3,S 
12-08-2020,25.9,35.4,27.1,83,,4.5,4,200,1,C 
13-08-2020,,32.7,27.9,76,7.4,2.6,5,220,2,S 
14-08-2020,23.7,30.6,25.8,94,2.2,7.3,5,310,1,C 
15-08-2020,23,31.2,27.2,88,9.7,0,4,160,1,C 
16-08-2020,23.9,30.7,26.7,88,13,5.2,6,220,2,C 
17-08-2020,24,30.8,27.8,82,0.7,1.6,5,150,1,C 
18-08-2020,23.8,30,26.8,85,,5.5,5,210,2,C 
19-08-2020,23.8,33.1,27.7,84,3.1,3,5,190,2,C 
20-08-2020,24.5,30.6,28.1,84,8888,6.2,4,150,2,E 
21-08-2020,24,32.8,29,76,1,1.4,6,120,3,SE
22-08-2020,24.4,32.6,26.7,88,0,7.5,5,100,2,SE
23-08-2020,23.5,28.3,25.1,94,,3.4,6,150,1,C 
24-08-2020,21.8,31.7,26.3,95,80.5,0,6,50,2,C 
25-08-2020,23.7,30.4,25.8,95,6.7,6.5,5,180,2,S 
26-08-2020,23.1,30.4,24.8,94,28.1,0.9,6,140,2,S 
27-08-2020,22.6,30.7,26.3,87,0.2,4.2,4,190,2,S 
28-08-2020,,32.1,27.6,82,0.1,4.3,5,180,2,SE
29-08-2020,24.1,31.6,26.2,93,,7.5,7,220,2,S 
30-08-2020,22.6,32.2,28.2,83,14.9,3.1,6,180,3,SE
31-08-2020,25.1,32,28,83,,8.1,6,140,3,SE
