Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-07-2021,26,31.6,28.6,80,0,5.8,7,150,3,SE
02-07-2021,25.8,31.6,27.7,84,8888,6,4,180,1,C 
03-07-2021,25,31.5,27.2,90,0,2.8,4,170,2,C 
04-07-2021,23.9,29.5,25.7,91,6.5,3.6,3,220,1,C 
05-07-2021,24.1,30.2,26.2,94,1.1,0,6,190,2,C 
06-07-2021,24.2,30.4,26.7,91,14.6,3.9,5,210,2,SW
07-07-2021,,30.8,26.7,88,5.5,0,5,140,2,C 
08-07-2021,24.8,31.9,28,83,8888,0.6,5,160,2,SE
09-07-2021,24.8,31.9,26.8,88,0,7.2,8,90,2,SE
10-07-2021,25.6,29.6,25.5,94,7.6,4.3,5,60,1,C 
11-07-2021,24.2,28.8,26.3,89,22.5,6.9,5,330,2,C 
12-07-2021,24.2,31.6,27,85,,0.8,6,190,3,SW
13-07-2021,,27.5,25.1,90,8888,5.5,5,270,4,S 
14-07-2021,24,29.4,26.4,85,6,0,5,130,1,C 
15-07-2021,24.4,31.8,27.4,84,0,0,5,130,2,SE
16-07-2021,,32.4,28.9,81,,9.2,6,170,3,SE
17-07-2021,25.2,32.2,28.1,84,,7.5,7,130,3,SE
18-07-2021,25.6,32.3,28.4,80,0,10.1,5,150,3,S 
19-07-2021,,32.3,28.3,83,,8.4,5,190,2,C 
20-07-2021,26,32.5,28.6,81,0,4.4,5,220,2,S 
21-07-2021,26,32.8,29.1,78,8888,4.6,7,200,4,S 
22-07-2021,26.2,32.8,29,78,,10.2,6,130,3,S 
23-07-2021,,33.2,28.8,82,0,10.4,6,200,3,S 
24-07-2021,,33.3,29.3,72,8888,7.9,7,190,4,S 
25-07-2021,,32.6,29.2,80,0,8.5,6,130,4,SE
26-07-2021,26.4,33,29,78,0,8.1,6,200,3,S 
27-07-2021,25.2,33,29,77,,7.1,7,190,4,S 
28-07-2021,,32.7,28.8,76,,9.8,7,190,4,S 
29-07-2021,26.5,33.6,29.6,72,,9.3,7,180,4,S 
30-07-2021,26.5,32.8,29.3,77,0,9.7,6,160,4,SE
31-07-2021,27.4,31.4,28.1,82,0,9,6,280,2,C 
