Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-06-2021,25.2,31.7,27.6,91,8.7,4.6,5,170,2,SE
02-06-2021,,32.7,28.8,84,8888,5.5,7,200,2,C 
03-06-2021,26.1,33.1,28.8,87,,4.4,8,130,2,C 
04-06-2021,,32.5,29.5,84,0.4,7.3,5,150,2,SE
05-06-2021,26.3,32.6,29.3,81,4.7,4.7,6,220,2,C 
06-06-2021,25,33.3,28.7,82,,5.8,6,190,3,S 
07-06-2021,,31.4,28.8,82,,9.6,5,190,2,C 
08-06-2021,25.8,32.4,28.8,84,0.2,7,5,220,2,C 
09-06-2021,,30.3,27.6,87,0.5,5.1,5,220,1,C 
10-06-2021,25.2,32.1,27.4,86,0.9,2,5,150,2,S 
11-06-2021,25,31.6,28,83,0,5.2,5,140,2,S 
12-06-2021,25.4,33.2,29.2,75,0,1.1,6,140,3,SE
13-06-2021,25,31.3,27.3,84,1,5.4,5,170,2,C 
14-06-2021,,32.5,28.1,86,8888,1.9,4,130,1,C 
15-06-2021,25.2,32.4,26.8,91,0,4.3,5,260,2,C 
16-06-2021,24.6,31,27.7,88,8.5,3.2,6,250,2,SW
17-06-2021,25.8,33,28.7,83,8888,6.8,6,210,2,C 
18-06-2021,24.4,29.8,26,90,8888,6,3,200,1,C 
19-06-2021,,30.7,27.5,85,8.2,0.1,4,240,1,C 
20-06-2021,24.3,31.9,27.8,83,1.8,0,5,120,2,C 
21-06-2021,22.1,32.3,27.2,81,48.1,6,5,190,2,S 
22-06-2021,23.7,30.5,27.5,87,,7.9,3,280,2,C 
23-06-2021,23.8,31.4,27.5,84,0,1.1,4,220,1,C 
24-06-2021,,32.3,27.4,83,4.2,4.6,4,180,1,C 
25-06-2021,24.9,31.6,26.3,90,0.4,4.6,4,60,1,C 
26-06-2021,24.4,32,27.5,85,35,3.5,6,270,2,S 
27-06-2021,24.9,30,25.6,93,0.4,5.9,5,210,1,C 
28-06-2021,24.6,31.6,26.6,88,7.1,0.4,3,240,1,C 
29-06-2021,25,29.7,27.4,87,5.3,4.7,4,230,2,SW
30-06-2021,24.8,32,28.3,76,1.4,3,6,210,2,S 
