Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2021,23.4,32,27.1,83,12.1,1.6,7,240,4,SW
02-09-2021,23.1,28.8,25.1,92,83.2,5.4,5,180,2,S 
03-09-2021,23.1,31.3,27.9,78,2.2,0,5,120,2,C 
04-09-2021,23.8,32.5,28.6,79,0,7.5,6,150,3,SE
05-09-2021,25.7,32,28.6,79,0.1,8.7,5,150,2,SE
06-09-2021,25.8,32.6,27.9,81,0,9,6,120,2,C 
07-09-2021,24.4,31.4,27.6,82,1.3,6.6,7,210,4,S 
08-09-2021,23.9,30.8,28,78,0.8,7.4,7,210,4,S 
09-09-2021,26,32.6,28.3,78,0,4.1,8,260,3,S 
10-09-2021,23.2,30.4,26.1,86,3.5,7.3,6,180,2,C 
11-09-2021,23.4,31.8,28.3,81,,1.5,5,180,2,S 
12-09-2021,24.7,32.4,28.1,81,0,6.5,6,210,2,S 
13-09-2021,25.4,29.3,26.1,90,1,6.8,4,210,2,SW
14-09-2021,23.6,29.4,27.1,87,28.1,0,3,120,1,SE
15-09-2021,24.6,31.8,28.2,82,,,6,130,3,SE
16-09-2021,25.8,32.2,27.9,81,,5.3,6,120,3,E 
17-09-2021,25.1,31.9,28.5,80,8888,5.6,5,50,2,E 
18-09-2021,25.1,32.4,27.9,83,0,9.2,5,70,2,C 
19-09-2021,25.3,30.2,26.8,86,8888,6.2,6,160,3,S 
20-09-2021,24.8,32.1,28.7,76,,2.6,6,190,3,S 
21-09-2021,25.9,32.6,28.6,78,1,9.7,5,220,3,S 
22-09-2021,24.8,32.4,28.6,80,4,8.2,6,210,3,SW
23-09-2021,24.1,31.3,28,81,8.9,9.2,5,200,2,C 
24-09-2021,25,32.4,28.6,79,0,8.7,4,140,2,E 
25-09-2021,25.6,31.8,28.1,83,,6.3,4,210,1,C 
26-09-2021,24.6,32.5,28.6,79,42,5.7,7,60,3,E 
27-09-2021,25.2,31.6,26.5,90,6.6,9.3,4,330,1,C 
28-09-2021,24.3,32.6,27.3,84,42,5.2,5,60,1,C 
29-09-2021,25,31,27.6,83,0,5.3,4,240,2,C 
30-09-2021,24.2,29,25.4,94,25.3,4.7,7,240,3,S 
