Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-04-2024,24.4,32.8,29.3,79,0,,5,90,3,E 
02-04-2024,27,33.5,30,76,,,4,100,2,E 
03-04-2024,27.6,34.2,30,76,0.9,6.1,7,70,2,E 
04-04-2024,27,33.1,29.4,79,0,7.1,6,70,2,N 
05-04-2024,26.6,33.3,30.8,72,0,5.1,7,50,4,E 
06-04-2024,24.3,33.2,30.2,74,0,,7,80,4,NE
07-04-2024,26.2,33.5,30.6,73,,9.6,8,70,4,NE
08-04-2024,28,32.6,28.7,82,0,8,5,300,2,C 
09-04-2024,26.5,33.9,30.2,75,3,3.8,7,60,4,NE
10-04-2024,26.1,31.3,28,86,0.5,9.6,6,60,3,N 
11-04-2024,25.7,32.4,29.1,81,10.1,,8,50,4,NE
12-04-2024,25.4,30.6,26.1,91,8,1.4,5,180,2,N 
13-04-2024,24.6,32.8,29.2,80,44.8,0,6,40,3,E 
14-04-2024,25.7,31.8,28.5,84,2.3,6.9,4,40,2,E 
15-04-2024,25.6,31.4,28.4,86,0.8,4.5,5,60,2,E 
16-04-2024,25.9,33.4,27.1,91,0.6,,5,13,2,C 
17-04-2024,,31,27.1,90,11.7,3.9,5,240,2,C 
18-04-2024,25.6,32,28.6,81,38,3.2,3,120,1,C 
19-04-2024,25.8,31.6,28.6,83,8888,6.2,5,260,2,E 
20-04-2024,26.2,31.9,27.4,90,0.2,4.9,4,290,2,SW
21-04-2024,25.5,33,29.2,83,86.2,,4,110,2,E 
22-04-2024,26.2,33.4,29.4,82,,6.2,4,50,2,C 
23-04-2024,26.7,33,29.4,81,0,7,4,90,1,C 
24-04-2024,26.7,32.8,29.5,79,0,5.8,5,210,2,C 
25-04-2024,26.7,33.3,29,80,,8.3,6,90,2,C 
26-04-2024,25.6,34,30,77,0.5,,5,100,2,E 
27-04-2024,,34.4,30.1,75,,9.4,4,80,2,SE
28-04-2024,,32.8,28.7,84,,10.2,7,210,2,C 
29-04-2024,26,,30,79,2.1,6.1,6,60,2,C 
30-04-2024,26.8,33.3,29.7,82,,10.7,4,150,2,SE
