Date,Tavg,RH_avg,RR,ss,ff_avg
01/06/2019,26.6,90,10.3,4.9,1
02/06/2019,27.8,83,64.7,4.6,1
03/06/2019,25.9,96,11,6.9,1
04/06/2019,27.3,88,23,2.7,1
05/06/2019,28.5,86,6.2,3.5,2
06/06/2019,26.5,91,8888,6.2,2
07/06/2019,25.7,91,27.3,0,1
08/06/2019,26.4,91,8888,0,1
09/06/2019,27,87,8888,2.1,1
10/06/2019,29.2,81,8888,6.3,2
11/06/2019,29,85,0,10.8,2
12/06/2019,26.7,90,8.5,8.4,2
13/06/2019,28.1,86,0,2.4,2
14/06/2019,28.4,85,6.5,0,1
15/06/2019,27.5,89,0,6.3,1
16/06/2019,28.6,84,8888,4.6,2
17/06/2019,28.5,86,0,8,2
18/06/2019,26,94,15.7,3.7,1
19/06/2019,26.7,92,8888,0,1
20/06/2019,28.5,81,8888,0.4,2
21/06/2019,27.1,85,8888,3.9,2
22/06/2019,25.8,93,8888,3.3,2
23/06/2019,28.1,82,33.2,1.6,2
24/06/2019,28.6,81,0,8.8,2
25/06/2019,29.1,80,8888,5.3,3
26/06/2019,26.7,87,0,9.9,1
27/06/2019,27.9,84,7.3,2.8,2
28/06/2019,29,80,0,10.3,4
29/06/2019,28.4,84,0,9,2
30/06/2019,28.1,82,8888,4,2
