Date,Tavg,RH_avg,RR,ss,ff_avg
01/09/2020,27,89,0.6,6.3,2
02/09/2020,27.5,88,1.1,3.8,1
03/09/2020,26.2,94,0.4,4.8,2
04/09/2020,27.3,83,4.8,2,2
05/09/2020,24.8,94,14.9,4.9,2
06/09/2020,26,89,37.5,0,2
07/09/2020,27.6,83,60.1,5.1,2
08/09/2020,28,88,0,4.8,2
09/09/2020,27.1,85,0,3.9,1
10/09/2020,27.4,84,0.6,4.7,2
11/09/2020,28,82,3,3.6,2
12/09/2020,25.4,95,1.9,3.6,1
13/09/2020,24.2,96,30.1,2.2,2
14/09/2020,24.5,95,29.3,0,2
15/09/2020,,,,,
16/09/2020,,,,,
17/09/2020,,,,,
18/09/2020,,,,,
19/09/2020,,,,,
20/09/2020,,,,,
21/09/2020,,,,,
22/09/2020,,,,,
23/09/2020,,,,,
24/09/2020,,,,,
25/09/2020,,,,,
26/09/2020,,,,,
27/09/2020,,,,,
28/09/2020,28,84,0.1,1.2,2
29/09/2020,26.3,90,8.3,3.7,2
30/09/2020,26.7,92,3.4,0,2
