Date,Tavg,RH_avg,RR,ss,ff_avg
01/11/2021,26.1,92,4.6,6.1,1
02/11/2021,26.5,87,2.6,0.3,2
03/11/2021,26.7,88,6.2,4.9,1
04/11/2021,27.5,82,13.2,2.3,1
05/11/2021,26.3,90,8888,2.7,2
06/11/2021,27.8,87,20,3.2,1
07/11/2021,26.4,92,8.1,2.3,2
08/11/2021,26.6,92,12.7,1.3,1
09/11/2021,27,87,10.1,0,2
10/11/2021,25.5,91,4.4,5.5,3
11/11/2021,27.1,84,14.1,0,3
12/11/2021,27.9,80,27.4,3.4,2
13/11/2021,25.9,90,4.9,4.6,2
14/11/2021,27.9,84,1.8,0.3,1
15/11/2021,26,92,,2.8,2
16/11/2021,28.5,80,13.8,1.4,2
17/11/2021,27.6,86,0,,2
18/11/2021,27,83,10.3,5.7,2
19/11/2021,28.4,81,8888,3.2,2
20/11/2021,26.8,87,33.2,4.2,1
21/11/2021,26.8,88,0.3,0.4,2
22/11/2021,27.9,85,47.5,5.8,1
23/11/2021,26.6,90,0.9,4.3,2
24/11/2021,25.8,90,5.5,4.2,1
25/11/2021,28,80,14.1,0,2
26/11/2021,28.4,76,8888,5.8,2
27/11/2021,27.8,79,0.3,5.4,1
28/11/2021,28.1,80,8888,0.8,2
29/11/2021,28.5,74,,1.7,3
30/11/2021,29,73,4.9,9.3,2
