Date,Tavg,RH_avg,RR,ss,ff_avg
01/12/2022,27.2,85,,8.9,2
02/12/2022,26.7,86,1.6,7.2,2
03/12/2022,27,83,13.3,0.1,2
04/12/2022,26.3,91,13.3,5.3,1
05/12/2022,26.6,91,4,0.1,2
06/12/2022,26.9,85,0.9,2.9,2
07/12/2022,28,85,8888,7.9,2
08/12/2022,26.5,91,15.6,7.5,2
09/12/2022,25.7,90,1.8,2.4,2
10/12/2022,27.1,82,4.8,2,2
11/12/2022,25.9,93,,1.5,2
12/12/2022,26.7,89,24.8,0.1,2
13/12/2022,25.9,94,25.1,0,3
14/12/2022,25.8,90,1,2,3
15/12/2022,25.3,92,35.5,0.5,3
16/12/2022,27.2,86,4.4,0.2,3
17/12/2022,27.3,88,0,6.7,3
18/12/2022,27.3,86,0.2,7.8,2
19/12/2022,25.8,90,5.4,4.4,3
20/12/2022,26.9,86,0.4,2.5,3
21/12/2022,27.1,86,0.3,7.7,3
22/12/2022,26.1,86,0,7.5,4
23/12/2022,26.3,84,12.4,0.9,3
24/12/2022,27.5,73,1,1,5
25/12/2022,27.3,78,0,8.1,4
26/12/2022,27.5,76,0,6.5,5
27/12/2022,27.4,76,0,4.5,3
28/12/2022,26.5,82,1.2,4.5,3
29/12/2022,26.7,84,0.2,4.1,3
30/12/2022,27,76,16.2,2.6,3
31/12/2022,26.9,82,1.2,4.4,4
