Date,Tavg,RH_avg,RR,ss,ff_avg
01/10/2022,27.4,88,0.5,4.9,2
02/10/2022,26.7,86,14.5,5.4,2
03/10/2022,26.1,92,0,5.4,1
04/10/2022,26.4,87,5.2,2.2,2
05/10/2022,26.2,88,36.5,0.7,2
06/10/2022,26.1,92,3.4,0.8,2
07/10/2022,25.1,95,34.9,1.7,2
08/10/2022,26.3,88,33.3,0.3,2
09/10/2022,27.6,81,8888,1.7,3
10/10/2022,25.7,86,4.3,1.8,2
11/10/2022,26.1,90,0.4,0.2,2
12/10/2022,25.9,84,24.1,6.6,2
13/10/2022,27.9,78,0,0,2
14/10/2022,27.3,84,0,7.5,2
15/10/2022,28.3,79,2,3.8,3
16/10/2022,26.5,86,11.4,7.6,2
17/10/2022,26.9,86,21.6,1,1
18/10/2022,28.5,80,4,5.3,2
19/10/2022,28.1,85,,3.4,2
20/10/2022,28.8,82,0,2.1,2
21/10/2022,26,93,1.8,6.7,1
22/10/2022,26.8,92,48.2,0.5,2
23/10/2022,26.9,84,3.4,4.5,2
24/10/2022,27.2,84,5.1,0.1,2
25/10/2022,27.2,86,1.1,0.7,2
26/10/2022,26.3,88,12.9,2.3,2
27/10/2022,28,78,6.9,0.4,3
28/10/2022,28.9,74,0,8.1,2
29/10/2022,27.9,80,8888,6.3,2
30/10/2022,27.6,84,0,3.4,3
31/10/2022,27.2,83,21.3,1.7,2
