Date,Tavg,RH_avg,RR,ss,ff_avg
01/04/2023,28.1,84,,5.2,2
02/04/2023,28.1,84,8888,4.1,2
03/04/2023,25,94,14.7,4.2,2
04/04/2023,28.5,77,7.4,0,2
05/04/2023,27.7,86,0,9.6,2
06/04/2023,27.8,81,0.9,0,2
07/04/2023,26.5,82,0,1.9,2
08/04/2023,27.6,86,0,0.3,3
09/04/2023,29.1,82,0.2,6.3,4
10/04/2023,28.3,81,0,9.7,3
11/04/2023,28.6,80,0,10,3
12/04/2023,28.6,80,0,8.8,2
13/04/2023,28.9,85,0,4.7,2
14/04/2023,29,85,1,5.1,3
15/04/2023,27.9,86,0,7.6,2
16/04/2023,28.7,86,7.1,5.4,3
17/04/2023,28.1,84,8888,2.6,2
18/04/2023,29.8,77,8888,5.5,3
19/04/2023,28.6,82,0,9.4,2
20/04/2023,27.5,85,0.2,3.8,2
21/04/2023,28.4,81,24.2,2.2,2
22/04/2023,28.2,83,21.5,3.5,2
23/04/2023,27.1,92,8888,5.4,2
24/04/2023,28.6,83,38,4.6,3
25/04/2023,28.4,84,8.3,7.3,2
26/04/2023,28.8,83,0.8,5.1,2
27/04/2023,28.2,86,0.9,10.1,2
28/04/2023,28.6,83,0.2,6.8,2
29/04/2023,29.1,78,0,6.3,2
30/04/2023,28.8,82,0,8.6,2
