Date,Tavg,RH_avg,RR,ss,ff_avg
01/08/2023,28.4,78,,5.4,3
02/08/2023,28.8,83,8888,5.7,4
03/08/2023,26.5,88,0,5.5,2
04/08/2023,28.3,83,11.3,0,3
05/08/2023,29.1,83,,7.3,4
06/08/2023,28.4,84,13.6,8.3,3
07/08/2023,28.5,84,0,10.6,3
08/08/2023,29.5,78,0,10.5,4
09/08/2023,29,80,0,8,4
10/08/2023,29.1,76,,10.1,3
11/08/2023,28.7,83,,9.3,4
12/08/2023,28.6,82,0,8.8,4
13/08/2023,28.7,80,12.7,7.3,4
14/08/2023,27.9,84,2.8,4,3
15/08/2023,26.6,89,84.2,2,2
16/08/2023,28.3,86,5.8,2.8,3
17/08/2023,28.7,83,0,5.5,2
18/08/2023,26.9,89,,4.6,2
19/08/2023,26.9,90,8888,0.5,2
20/08/2023,28.2,84,,1.8,3
21/08/2023,26.6,89,2.2,7.6,2
22/08/2023,29,76,11.2,3.6,4
23/08/2023,28.6,82,,7.1,4
24/08/2023,28.6,83,0,8,2
25/08/2023,26.6,92,3,6.4,2
26/08/2023,27.6,87,11.3,4.8,2
27/08/2023,27.4,87,0.2,3.2,2
28/08/2023,27.9,86,,8.9,3
29/08/2023,28.1,86,0,4.7,3
30/08/2023,27,91,19.1,4.7,2
31/08/2023,28.7,80,12.2,1.6,4
