Date,Tavg,RH_avg,RR,ss,ff_avg
01/02/2023,26.3,86,13.4,0,4
02/02/2023,26.1,91,0,5.3,2
03/02/2023,25.9,92,14.6,5.1,3
04/02/2023,24.5,96,18.7,5.4,2
05/02/2023,25.8,92,25,0.7,2
06/02/2023,27.1,82,24.2,6,2
07/02/2023,,,,5.3,4
08/02/2023,27.3,87,0,4.7,4
09/02/2023,27.1,84,,5.4,3
10/02/2023,26.4,85,8888,4.6,3
11/02/2023,27.4,86,29.6,5.3,3
12/02/2023,24.5,96,3.7,4.5,2
13/02/2023,26.8,87,23,0.7,3
14/02/2023,26.3,88,,4.5,3
15/02/2023,26.1,89,62.9,5.5,4
16/02/2023,26.5,82,24.2,0.9,4
17/02/2023,29.1,69,0,9,5
18/02/2023,27.5,83,0,7.7,5
19/02/2023,27.5,81,,9.7,5
20/02/2023,27.5,79,0,8.8,4
21/02/2023,27.6,78,0,3.7,5
22/02/2023,27.8,78,,9,5
23/02/2023,27.8,76,8888,4.8,4
24/02/2023,27.8,73,0,4.3,4
25/02/2023,27.3,78,0,7.6,5
26/02/2023,27.9,76,0,5.3,5
27/02/2023,27,84,0.4,5.4,5
28/02/2023,25.5,94,3.3,3.1,3
