Date,Tavg,RH_avg,RR,ss,ff_avg
01/07/2023,26.8,83,14.2,0.4,3
02/07/2023,28.5,81,0.3,1.2,2
03/07/2023,28.9,82,,2.5,2
04/07/2023,28.8,82,0.3,4,2
05/07/2023,29,78,0,8,2
06/07/2023,27.3,87,2.9,7.3,1
07/07/2023,27.7,82,2.6,0,2
08/07/2023,28,84,,6,3
09/07/2023,27.4,88,0,5.7,1
10/07/2023,27.7,85,4.8,4.2,2
11/07/2023,24.5,96,4.8,5.4,2
12/07/2023,27.7,83,14,0,2
13/07/2023,28.6,81,0,8.7,2
14/07/2023,25.6,96,0,10,1
15/07/2023,27.6,83,40.3,0.7,2
16/07/2023,28.6,83,,5.5,3
17/07/2023,28.6,81,0,7.5,3
18/07/2023,27.6,88,0.8,4.8,2
19/07/2023,28.1,86,41.8,0.6,2
20/07/2023,25.8,93,0.8,1.4,2
21/07/2023,28.4,83,16.4,0,3
22/07/2023,28.9,82,,2.2,4
23/07/2023,29.2,78,,9.8,2
24/07/2023,27.9,80,0,2.6,3
25/07/2023,29.1,77,0,8.7,3
26/07/2023,29.8,77,,10.4,4
27/07/2023,30,78,,9.2,4
28/07/2023,29.7,77,0,8.9,4
29/07/2023,29.5,74,0,7.4,5
30/07/2023,29.2,74,0,8.6,6
31/07/2023,29.3,70,,9.4,4
