Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_avg
01-01-2022,24.0,32.2,27.0,84.0,1.0,3.5,1.0
02-01-2022,24.0,31.2,25.8,91.0,8.1,2.5,1.0
03-01-2022,22.4,32.0,26.3,86.0,29.3,2.0,1.0
04-01-2022,24.0,29.8,26.7,87.0,0.5,5.5,0.0
05-01-2022,23.4,32.2,26.9,85.0,22.3,0.0,0.0
06-01-2022,23.8,31.8,26.0,87.0,0.0,3.8,0.0
07-01-2022,23.8,31.8,26.3,88.0,0.3,2.9,0.0
08-01-2022,23.6,32.4,27.2,83.0,2.1,2.0,1.0
09-01-2022,25.0,33.2,27.3,86.0,0.0,4.4,0.0
10-01-2022,24.0,31.6,27.1,86.0,3.9,4.9,0.0
11-01-2022,23.8,31.0,26.6,88.0,0.4,4.1,0.0
12-01-2022,23.8,33.0,27.3,85.0,2.5,0.5,0.0
13-01-2022,24.6,33.4,28.0,80.0,1.1,5.2,2.0
14-01-2022,24.4,33.4,28.2,80.0,0.0,6.6,0.0
15-01-2022,23.6,34.2,26.9,84.0,0.0,6.9,1.0
16-01-2022,24.2,30.9,26.7,86.0,16.4,6.3,0.0
17-01-2022,23.6,31.6,26.4,86.0,16.4,1.9,0.0
18-01-2022,24.2,33.4,28.1,82.0,0.2,1.5,0.0
19-01-2022,24.2,31.0,25.2,92.0,0.0,4.8,1.0
20-01-2022,24.0,31.0,26.4,84.0,6.1,0.0,1.0
21-01-2022,23.8,32.8,27.2,78.0,0.0,2.9,2.0
22-01-2022,23.8,33.1,27.6,77.0,0.0,6.0,1.0
23-01-2022,23.8,34.4,28.3,75.0,0.0,7.2,2.0
24-01-2022,22.4,34.6,28.5,69.0,0.0,7.7,1.0
25-01-2022,22.8,34.0,27.9,80.0,0.0,9.0,0.0
26-01-2022,24.8,33.4,27.9,85.0,27.8,7.2,1.0
27-01-2022,24.4,32.6,26.8,88.0,10.5,6.0,1.0
28-01-2022,23.2,32.2,26.5,84.0,7.4,6.4,1.0
29-01-2022,22.8,33.6,27.4,79.0,1.0,7.2,1.0
30-01-2022,24.0,34.2,28.4,77.0,0.0,7.0,1.0
31-01-2022,24.8,33.9,28.3,81.0,0.0,6.2,0.0
01-02-2022,24.0,31.4,26.8,84.0,0.0,3.6,0.0
02-02-2022,23.8,32.6,26.9,84.0,6.5,1.7,0.0
03-02-2022,23.4,32.4,26.6,86.0,0.4,2.2,1.0
04-02-2022,24.2,34.0,27.8,81.0,0.4,2.4,2.0
05-02-2022,25.0,32.8,28.0,82.0,0.0,6.9,0.0
06-02-2022,24.8,32.5,28.1,80.0,0.3,4.0,1.0
07-02-2022,25.2,30.2,26.5,91.0,1.5,8.3,0.0
08-02-2022,24.0,31.6,26.2,90.0,2.0,2.0,1.0
09-02-2022,23.7,32.9,26.7,86.0,4.6,0.0,2.0
10-02-2022,23.8,33.0,26.2,87.0,1.5,4.4,0.0
11-02-2022,23.4,32.4,25.9,89.0,47.0,4.9,0.0
12-02-2022,24.0,31.6,26.7,88.0,41.5,4.7,0.0
13-02-2022,24.2,30.6,25.7,91.0,0.0,1.7,0.0
14-02-2022,23.6,35.0,26.0,90.0,13.6,0.8,1.0
15-02-2022,23.3,31.4,26.3,89.0,37.2,2.0,1.0
16-02-2022,24.8,31.2,25.9,94.0,0.0,4.9,1.0
17-02-2022,24.4,32.2,27.1,87.0,8.2,2.4,0.0
18-02-2022,23.6,32.0,27.4,84.0,0.0,2.6,0.0
19-02-2022,23.6,32.8,27.5,82.0,0.0,7.7,1.0
20-02-2022,24.2,32.8,27.7,81.0,0.0,7.9,1.0
21-02-2022,24.6,29.2,26.5,78.0,0.9,3.2,2.0
22-02-2022,23.6,30.8,26.5,85.0,0.0,0.0,1.0
23-02-2022,23.8,33.0,27.3,79.0,2.0,0.0,1.0
24-02-2022,24.2,33.4,28.2,78.0,0.0,4.9,1.0
25-02-2022,25.4,30.8,28.3,80.0,0.0,7.0,0.0
26-02-2022,23.6,34.0,27.1,82.0,0.0,0.0,1.0
27-02-2022,24.0,33.2,27.1,83.0,6.9,6.9,1.0
28-02-2022,24.0,33.2,27.2,84.0,5.0,6.2,0.0
01-03-2022,24.6,32.2,27.9,84.0,34.7,6.6,0.0
02-03-2022,23.4,31.6,27.0,87.0,19.0,7.4,0.0
03-03-2022,23.6,31.6,26.6,88.0,22.2,3.1,0.0
04-03-2022,24.6,31.8,26.2,90.0,15.5,2.1,0.0
05-03-2022,23.4,31.8,26.4,88.0,10.9,3.8,1.0
