Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_avg
01-01-2022,24,32.2,27,84,1,3.5,1
02-01-2022,24,31.2,25.8,91,8.1,2.5,1
03-01-2022,22.4,32,26.3,86,29.3,2,1
04-01-2022,24,29.8,26.7,87,0.5,5.5,0
05-01-2022,23.4,32.2,26.9,85,22.3,0,0
06-01-2022,23.8,31.8,26,87,0,3.8,0
07-01-2022,23.8,31.8,26.3,88,0.3,2.9,0
08-01-2022,23.6,32.4,27.2,83,2.1,2,1
09-01-2022,25,33.2,27.3,86,0,4.4,0
10-01-2022,24,31.6,27.1,86,3.9,4.9,0
11-01-2022,23.8,31,26.6,88,0.4,4.1,0
12-01-2022,23.8,33,27.3,85,2.5,0.5,0
13-01-2022,24.6,33.4,28,80,1.1,5.2,2
14-01-2022,24.4,33.4,28.2,80,0,6.6,0
15-01-2022,23.6,34.2,26.9,84,0,6.9,1
16-01-2022,24.2,30.9,26.7,86,16.4,6.3,0
17-01-2022,23.6,31.6,26.4,86,8888,1.9,0
18-01-2022,24.2,33.4,28.1,82,0.2,1.5,0
19-01-2022,24.2,31,25.2,92,0,4.8,1
20-01-2022,24,31,26.4,84,6.1,0,1
21-01-2022,23.8,32.8,27.2,78,0,2.9,2
22-01-2022,23.8,33.1,27.6,77,0,6,1
23-01-2022,23.8,34.4,28.3,75,0,7.2,2
24-01-2022,22.4,34.6,28.5,69,0,7.7,1
25-01-2022,22.8,34,27.9,80,0,9,0
26-01-2022,24.8,33.4,27.9,85,27.8,7.2,1
27-01-2022,24.4,32.6,26.8,88,10.5,6,1
28-01-2022,23.2,32.2,26.5,84,7.4,6.4,1
29-01-2022,22.8,33.6,27.4,79,1,7.2,1
30-01-2022,24,34.2,28.4,77,0,7,1
31-01-2022,24.8,33.9,28.3,81,0,6.2,0
01-02-2022,24,31.4,26.8,84,0,3.6,0
02-02-2022,23.8,32.6,26.9,84,6.5,1.7,0
03-02-2022,23.4,32.4,26.6,86,0.4,2.2,1
04-02-2022,24.2,34,27.8,81,8888,2.4,2
05-02-2022,25,32.8,28,82,0,6.9,0
06-02-2022,24.8,32.5,28.1,80,0.3,4,1
07-02-2022,25.2,30.2,26.5,91,1.5,8.3,0
08-02-2022,24,,26.2,90,2,2,1
09-02-2022,23.7,32.9,26.7,86,4.6,0,2
10-02-2022,23.8,33,26.2,87,1.5,4.4,0
11-02-2022,23.4,32.4,25.9,89,47,4.9,0
12-02-2022,24,31.6,26.7,88,41.5,4.7,0
13-02-2022,24.2,30.6,25.7,91,0,1.7,0
14-02-2022,23.6,35,26,90,13.6,0.8,1
15-02-2022,23.3,31.4,26.3,89,37.2,2,1
16-02-2022,24.8,31.2,25.9,94,0,4.9,1
17-02-2022,24.4,32.2,27.1,87,8.2,2.4,0
18-02-2022,23.6,32,27.4,84,0,2.6,0
19-02-2022,23.6,32.8,27.5,82,0,7.7,1
20-02-2022,24.2,32.8,27.7,81,8888,7.9,1
21-02-2022,24.6,29.2,26.5,78,0.9,3.2,2
22-02-2022,23.6,30.8,26.5,85,0,0,1
23-02-2022,23.8,33,27.3,79,2,0,1
24-02-2022,24.2,33.4,28.2,78,0,4.9,1
25-02-2022,25.4,30.8,28.3,80,0,7,0
26-02-2022,23.6,34,27.1,82,0,0,1
27-02-2022,24,33.2,27.1,83,6.9,6.9,1
28-02-2022,24,33.2,27.2,84,5,6.2,0
01-03-2022,24.6,32.2,27.9,84,34.7,6.6,0
02-03-2022,23.4,31.6,27,87,19,7.4,0
03-03-2022,23.6,31.6,26.6,88,22.2,3.1,0
04-03-2022,24.6,31.8,26.2,90,15.5,2.1,0
05-03-2022,23.4,31.8,26.4,88,10.9,3.8,1
06-03-2022,24.2,32.2,26.5,89,0.3,1.8,1
07-03-2022,24,31.7,26.5,88,4.4,2.8,1
08-03-2022,24.2,33,27.9,82,6.4,2,2
09-03-2022,25,32,27.3,85,0,7.1,1
10-03-2022,25.2,31,27.5,87,0.8,5,0
11-03-2022,24.2,32.2,27.2,88,0,1,1
12-03-2022,22.8,32.6,26.5,87,51,5.5,1
13-03-2022,24.8,29.6,27.3,88,3.9,4.9,0
14-03-2022,23.9,32.6,26.5,88,5.5,0.2,1
15-03-2022,23.4,32.6,27.5,86,5.7,5.7,0
16-03-2022,25.2,32.2,27.9,86,0,6.5,1
17-03-2022,24.8,32.4,26.6,89,8888,2.3,1
18-03-2022,23.4,31.8,27.1,86,15.1,4.9,1
19-03-2022,24.6,32.8,28,82,4,3.3,0
20-03-2022,24.6,32.4,27.2,82,0.7,7.3,0
21-03-2022,24.6,31.4,,,14.2,7.3,0
22-03-2022,23.6,32,27.4,84,4.2,1.2,0
23-03-2022,23.8,30.4,26.7,89,12.1,2.4,0
24-03-2022,24.1,32.2,27.5,86,8888,0.1,0
25-03-2022,24.2,31.4,27.3,86,24.2,6.5,0
26-03-2022,22.8,33,26.5,84,8888,5.8,1
27-03-2022,24.4,32.4,27.3,84,0.2,5.3,1
28-03-2022,24,30.2,26.2,86,0,5.5,1
29-03-2022,23.8,31.8,26.5,86,8888,0,1
30-03-2022,23.4,32.4,25.8,90,8888,0.8,1
31-03-2022,23,31.1,25.6,92,65.7,3.7,1
01-04-2022,24,32.1,26.3,89,6.7,3.6,1
02-04-2022,23.4,31.2,26.8,86,73,5.8,1
03-04-2022,25,31,27.1,85,8888,6.1,1
04-04-2022,23.8,31.6,27.1,84,8888,4.1,0
05-04-2022,24.2,32,27.7,82,0,6.5,1
06-04-2022,23.4,32.4,27.5,82,0,6.1,0
07-04-2022,23.4,32.6,27.8,82,1,7.1,1
08-04-2022,23.8,33,27.9,81,5,5.5,1
09-04-2022,24.6,33,28.2,80,0,7.4,0
